train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,train/entropy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/explained_variance,train/policy_loss,train/learning_rate
6713912320.0,-907979.3420229,61.29,1.000342845916748,124,-17.03173828125,1520,10000,6,4.231929779052734e-06,-1349193.125,0.0001
6922655232.0,-771557.6413746999,51.48,1.000282645225525,249,-17.030445098876953,1547,20000,12,-2.384185791015625e-06,-1304025.625,0.0001
6744749568.0,-826106.0239618102,55.36,1.000285029411316,374,-17.03030776977539,1556,30000,19,-4.0531158447265625e-06,-1248743.375,0.0001
5576772608.0,-961062.85584365,65.84,1.0003713369369507,499,-17.031471252441406,1560,40000,25,-5.960464477539062e-07,-1162903.625,0.0001
5753009152.0,-766669.28055572,52.42,1.0005289316177368,624,-17.033527374267578,1558,50000,32,5.364418029785156e-07,-1205344.5,0.0001
5566153728.0,-836709.5998133001,57.8,1.0011036396026611,749,-17.040245056152344,1560,60000,38,-1.1920928955078125e-07,-1166048.75,0.0001
7056617472.0,-835167.72938126,58.12,1.0009500980377197,874,-17.0385799407959,1560,70000,44,-3.5762786865234375e-07,-1312661.75,0.0001
6188446208.0,-821900.6035329199,57.09,1.0008107423782349,999,-17.037330627441406,1557,80000,51,1.7881393432617188e-07,-1269723.375,0.0001
8404441600.0,-833460.3913619602,57.65,1.000643014907837,1124,-17.034496307373047,1558,90000,57,0.0,-1424279.75,0.0001
6738603008.0,-749735.77901024,51.55,1.0003000497817993,1249,-17.031208038330078,1557,100000,64,0.0,-1329735.75,0.0001
7495866880.0,-863808.0224392402,59.75,1.000778079032898,1374,-17.036529541015625,1557,110000,70,0.0,-1382393.25,0.0001
9909940224.0,-859518.0997828002,60.68,1.0008926391601562,1499,-17.037717819213867,1557,120000,77,5.960464477539063e-08,-1552760.25,0.0001
6039593472.0,-953645.3522429101,67.28,1.001360535621643,1624,-17.043378829956055,1555,130000,83,2.384185791015625e-07,-1213163.375,0.0001
4621088768.0,-696069.59764135,47.78,1.0014140605926514,1749,-17.044017791748047,1554,140000,90,0.0,-1066584.25,0.0001
