train/n_updates,train/std,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,time/fps,train/policy_loss,rollout/ep_len_mean
124,1.0001622438430786,10000,6,-283567.28655926,-17.02984619140625,1654203648.0,0.0001,9.417533874511719e-06,1553,-508384.34375,49.68
249,0.9999949932098389,20000,12,-237062.02236291004,-17.027061462402344,1926617728.0,0.0001,-4.76837158203125e-07,1573,-561532.875,42.38
374,1.0001567602157593,30000,18,-258588.87264644005,-17.029035568237305,1287206528.0,0.0001,-8.344650268554688e-06,1600,-469721.09375,46.03
499,1.0000816583633423,40000,24,-243025.31913887,-17.02794647216797,1045138304.0,0.0001,-2.86102294921875e-06,1621,-413866.34375,44.05
624,1.000102162361145,50000,30,-245437.12678233,-17.02836799621582,2516892160.0,0.0001,0.0,1635,-679304.1875,47.6
749,1.000787377357483,60000,36,-244746.47464772995,-17.03611946105957,914199232.0,0.0001,3.5762786865234375e-07,1642,-416179.3125,43.8
874,1.0005296468734741,70000,42,-236053.59786401998,-17.033510208129883,991171712.0,0.0001,-1.1920928955078125e-07,1649,-342506.0625,47.01
999,1.0003366470336914,80000,48,-226099.92225160997,-17.03166389465332,1417015040.0,0.0001,1.1920928955078125e-07,1646,-478263.0625,42.5
1124,1.000177264213562,90000,54,-247911.69970132998,-17.029052734375,907407168.0,0.0001,-1.1920928955078125e-07,1638,-340510.34375,49.08
1249,0.9997959733009338,100000,61,-246486.13020137002,-17.02556610107422,1523774208.0,0.0001,1.1920928955078125e-07,1632,-525803.375,47.59
1374,1.0000581741333008,110000,67,-244683.35148366995,-17.02794647216797,1069317120.0,0.0001,0.0,1626,-416709.5625,47.35
1499,1.000013828277588,120000,73,-218718.43250586998,-17.027082443237305,1280066304.0,0.0001,0.0,1626,-448807.15625,42.3
1624,1.0004547834396362,130000,79,-236421.69099077006,-17.032520294189453,802930048.0,0.0001,0.0,1625,-266782.125,44.46
1749,1.0003212690353394,140000,86,-214305.03518223,-17.030750274658203,2022409984.0,0.0001,0.0,1620,-622010.3125,42.02
1874,1.0006028413772583,150000,92,-218974.59765193,-17.0349178314209,2578029312.0,0.0001,-1.1920928955078125e-07,1616,-711921.8125,40.98
1999,1.000017762184143,160000,99,-197156.97709309004,-17.027416229248047,686997888.0,0.0001,0.0,1614,-369230.6875,37.33
2124,0.9998913407325745,170000,105,-229689.52077048,-17.025590896606445,1603821568.0,0.0001,-1.1920928955078125e-07,1611,-525778.125,45.99
2249,0.9996432662010193,180000,111,-208631.20551946998,-17.02195930480957,2388528128.0,0.0001,0.0,1608,-589084.6875,38.96
2374,0.9990811347961426,190000,118,-238865.37407273002,-17.016380310058594,1206352640.0,0.0001,-1.1920928955078125e-07,1606,-369134.0,49.81
2499,0.9987826943397522,200000,124,-230821.50858196997,-17.011964797973633,1000724096.0,0.0001,1.1920928955078125e-07,1603,-336966.3125,46.28
2624,0.9982872605323792,210000,131,-190772.78541981,-17.006166458129883,611658048.0,0.0001,0.0,1602,-301195.78125,35.0
2749,0.9986454844474792,220000,137,-211453.80206571,-17.01032829284668,2379722240.0,0.0001,1.1920928955078125e-07,1605,-597939.375,43.58
2874,0.9985923767089844,230000,143,-210149.89177172008,-17.010114669799805,675197376.0,0.0001,0.0,1608,-311793.0625,42.88
2999,0.9988972544670105,240000,149,-188146.08873985003,-17.013029098510742,1905323008.0,0.0001,-1.1920928955078125e-07,1610,-490404.34375,34.22
3124,0.9990121722221375,250000,155,-207753.29983930002,-17.01498794555664,1972089472.0,0.0001,0.0,1608,-538957.625,41.63
3249,0.9987571239471436,260000,161,-184881.67172179,-17.011577606201172,800124800.0,0.0001,-1.1920928955078125e-07,1606,-304803.84375,36.07
3374,0.9981715083122253,270000,168,-181711.00664929996,-17.005146026611328,1760338176.0,0.0001,-2.384185791015625e-07,1604,-474913.5,37.46
3499,0.9980443120002747,280000,174,-192232.57186956002,-17.0034122467041,335201440.0,0.0001,-1.1920928955078125e-07,1604,-230520.09375,38.94
3624,0.9982377886772156,290000,180,-194565.53810931,-17.005168914794922,1809063168.0,0.0001,1.1920928955078125e-07,1602,-498129.34375,40.27
3749,0.9981105923652649,300000,187,-183447.97712296995,-17.00503158569336,280610848.0,0.0001,0.0,1601,-208369.578125,39.3
3874,0.9980543255805969,310000,193,-209627.97476506996,-17.00373649597168,533396320.0,0.0001,-1.1920928955078125e-07,1599,-63739.125,45.67
3999,0.9981977939605713,320000,199,-199401.74493029003,-17.00545883178711,2335077888.0,0.0001,0.0,1600,-604135.1875,42.7
4124,0.9981643557548523,330000,206,-185771.58982031996,-17.0048885345459,1752094976.0,0.0001,0.0,1601,-489403.25,36.84
4249,0.9985467791557312,340000,212,-191919.13463194002,-17.009607315063477,3073247232.0,0.0001,0.0,1603,-788938.125,40.36
4374,0.9984784722328186,350000,218,-193272.29531151004,-17.0081787109375,813908736.0,0.0001,-1.1920928955078125e-07,1603,-341507.75,39.82
4499,0.9983184337615967,360000,224,-174740.84321385,-17.006458282470703,1229141504.0,0.0001,0.0,1601,-387673.4375,37.74
4624,0.9984743595123291,370000,231,-172268.33070989003,-17.00845718383789,1512477440.0,0.0001,0.0,1599,-446278.90625,37.41
4749,0.9985117316246033,380000,237,-189946.830408,-17.008703231811523,949747072.0,0.0001,0.0,1599,-378181.0625,42.16
4874,0.9983475208282471,390000,244,-203231.46534517995,-17.006481170654297,752866880.0,0.0001,-1.1920928955078125e-07,1596,-294237.8125,44.73
4999,0.998566210269928,400000,250,-184486.73498384,-17.009387969970703,866792448.0,0.0001,0.0,1594,-331794.0625,38.17
5124,0.9988583922386169,410000,257,-184231.35886245,-17.01230239868164,1218426752.0,0.0001,0.0,1593,-362103.0625,40.53
5249,0.9990651607513428,420000,263,-165830.57160822998,-17.015697479248047,1795701504.0,0.0001,0.0,1593,-480770.1875,33.65
5374,0.9986698031425476,430000,269,-161529.58391820002,-17.010400772094727,1628595968.0,0.0001,5.960464477539063e-08,1594,-471362.8125,33.83
5499,0.9984367489814758,440000,276,-188541.45536394,-17.0079288482666,1756601728.0,0.0001,-1.1920928955078125e-07,1594,-544232.375,42.52
5624,0.9986648559570312,450000,282,-168770.00151591998,-17.010536193847656,2119881088.0,0.0001,-1.1920928955078125e-07,1592,-587197.375,35.59
