time/total_timesteps,time/time_elapsed,train/value_loss,train/std,time/fps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/policy_loss,train/n_updates,train/explained_variance,rollout/ep_rew_mean
10000,7,2449414656.0,1.0002504587173462,1327,26.19,-17.03119468688965,0.0001,-726246.0,124,5.960464477539062e-07,-220953.09703166
20000,14,2007906688.0,1.0004924535751343,1337,21.57,-17.033098220825195,0.0001,-541791.375,249,-1.1920928955078125e-07,-195398.59709060003
30000,22,3540670976.0,0.9999909996986389,1337,22.78,-17.02686882019043,0.0001,-856889.0,374,-2.384185791015625e-07,-200286.97729965003
40000,29,3212871424.0,1.0001220703125,1335,20.41,-17.028810501098633,0.0001,-812730.25,499,-2.384185791015625e-07,-179322.18079299998
50000,37,2873990400.0,1.0005030632019043,1334,25.1,-17.03325080871582,0.0001,-706388.25,624,3.5762786865234375e-07,-218581.7434903601
60000,45,2418215680.0,1.000832438468933,1333,23.42,-17.037132263183594,0.0001,-638155.0625,749,-2.384185791015625e-07,-196520.67540134
70000,52,1539086720.0,1.0006061792373657,1331,23.41,-17.034223556518555,0.0001,-529953.875,874,2.384185791015625e-07,-189700.41087099002
80000,60,2178333952.0,1.0007067918777466,1329,20.53,-17.035938262939453,0.0001,-668616.8125,999,-2.384185791015625e-07,-183477.15091601998
90000,67,2221072896.0,1.0005444288253784,1326,23.66,-17.033510208129883,0.0001,-655256.8125,1124,5.960464477539063e-08,-196582.16273302
100000,75,2550504192.0,1.0000286102294922,1324,21.38,-17.027870178222656,0.0001,-716854.875,1249,0.0,-190704.39931014003
110000,83,3683113472.0,1.00031316280365,1323,21.93,-17.031187057495117,0.0001,-883851.125,1374,1.1920928955078125e-07,-181483.56308597006
120000,90,2204602368.0,1.000322937965393,1320,19.27,-17.030738830566406,0.0001,-645164.8125,1499,5.960464477539063e-08,-165709.82629841
130000,98,1368709632.0,1.0004804134368896,1318,21.21,-17.032703399658203,0.0001,-453519.5,1624,1.1920928955078125e-07,-172099.43028338
140000,106,1917388800.0,1.000423789024353,1315,19.62,-17.03190803527832,0.0001,-536039.9375,1749,0.0,-168716.08858865
150000,114,2900476928.0,1.000435471534729,1313,19.59,-17.032447814941406,0.0001,-762023.125,1874,-1.1920928955078125e-07,-167799.55032049998
160000,122,2832731392.0,1.000064730644226,1311,21.33,-17.02861785888672,0.0001,-546981.625,1999,1.1920928955078125e-07,-177476.59273248003
170000,129,2873585408.0,0.999875545501709,1309,19.59,-17.026063919067383,0.0001,-741954.0,2124,0.0,-159579.55978913003
180000,137,1770678272.0,0.9998466968536377,1307,24.42,-17.024620056152344,0.0001,-304652.71875,2249,0.0,-177652.46959357
190000,145,1592095488.0,0.9992887377738953,1306,20.16,-17.0190486907959,0.0001,-548246.8125,2374,0.0,-162758.49709099001
200000,153,3729304320.0,0.9993515610694885,1304,20.22,-17.019580841064453,0.0001,-864165.0,2499,0.0,-161910.82698708
210000,161,2562687744.0,0.999279260635376,1302,19.36,-17.018165588378906,0.0001,-659136.0,2624,0.0,-155907.72982175
220000,169,3476124416.0,0.9992361068725586,1301,19.72,-17.017850875854492,0.0001,-836823.3125,2749,0.0,-162573.09246174
230000,176,2496820480.0,0.9992792010307312,1299,18.56,-17.01856803894043,0.0001,-660367.625,2874,-1.1920928955078125e-07,-154529.21156141
240000,184,2688876032.0,0.9993100166320801,1297,20.61,-17.018199920654297,0.0001,-676412.875,2999,0.0,-168456.08159463
250000,192,3510654976.0,0.9991074204444885,1296,18.64,-17.01634979248047,0.0001,-869474.875,3124,1.1920928955078125e-07,-149355.28464192004
260000,200,2823847424.0,0.9986677765846252,1295,18.5,-17.01067352294922,0.0001,-772779.9375,3249,0.0,-152959.69347186002
270000,208,2539660032.0,0.9980781078338623,1293,23.07,-17.0045166015625,0.0001,-468224.0625,3374,-1.1920928955078125e-07,-163800.94457436
280000,216,2687114496.0,0.9980341792106628,1292,18.6,-17.003236770629883,0.0001,-706401.6875,3499,0.0,-146211.46411347
290000,224,2278528768.0,0.9981135725975037,1290,20.51,-17.004152297973633,0.0001,-603231.375,3624,0.0,-157413.6438153
300000,232,1456989056.0,0.9977850317955017,1288,19.51,-17.000566482543945,0.0001,-536697.125,3749,0.0,-153557.88375632002
310000,240,1567929216.0,0.9971404075622559,1287,22.43,-16.992578506469727,0.0001,-560616.4375,3874,-1.1920928955078125e-07,-172940.30660121999
320000,248,3132425728.0,0.9974192976951599,1285,19.74,-16.996726989746094,0.0001,-556185.375,3999,0.0,-160236.16043726998
330000,256,2440316672.0,0.9970049858093262,1284,20.28,-16.991127014160156,0.0001,-580099.125,4124,-1.1920928955078125e-07,-155168.94882256
340000,264,3402893824.0,0.9972793459892273,1283,20.57,-16.994340896606445,0.0001,-637883.875,4249,0.0,-157134.03542422
350000,272,3210023680.0,0.9973343014717102,1282,21.12,-16.994617462158203,0.0001,-812977.4375,4374,5.960464477539063e-08,-165206.40742035
360000,281,2572815104.0,0.9973781704902649,1281,19.72,-16.995628356933594,0.0001,-670837.8125,4499,5.960464477539063e-08,-151254.27258072997
370000,289,3283897856.0,0.9973500370979309,1279,19.24,-16.994953155517578,0.0001,-835596.75,4624,0.0,-148408.96650516998
380000,297,2776414720.0,0.9973678588867188,1278,22.57,-16.994579315185547,0.0001,-330821.34375,4749,0.0,-162641.8972575
390000,305,1726032256.0,0.9967318177223206,1277,23.18,-16.98780632019043,0.0001,-528591.0,4874,0.0,-168829.86986703
400000,313,2942790400.0,0.9970318675041199,1276,19.65,-16.991710662841797,0.0001,-801583.5,4999,0.0,-145573.15142329
410000,321,2437821952.0,0.9972708821296692,1275,21.91,-16.99397087097168,0.0001,-633808.75,5124,0.0,-149997.56187377998
420000,329,2343489280.0,0.9969966411590576,1274,21.04,-16.990968704223633,0.0001,-705114.25,5249,1.1920928955078125e-07,-156842.92269157
430000,337,3645782016.0,0.9963542819023132,1273,17.82,-16.982494354248047,0.0001,-764099.875,5374,1.7881393432617188e-07,-137997.29842101
440000,345,2312724992.0,0.9961593151092529,1272,20.44,-16.98078155517578,0.0001,-624795.5625,5499,0.0,-147426.62328139003
450000,353,1928605952.0,0.9961731433868408,1271,21.8,-16.98118782043457,0.0001,-632638.25,5624,1.1920928955078125e-07,-147129.01600637997
460000,361,3172312576.0,0.9957771897315979,1270,22.78,-16.975921630859375,0.0001,-546805.375,5749,0.0,-167631.46600916
470000,370,1652007808.0,0.9950945973396301,1269,19.83,-16.96668815612793,0.0001,-296550.96875,5874,1.1920928955078125e-07,-141329.60702971002
480000,378,2499312384.0,0.9960412979125977,1269,21.45,-16.97917366027832,0.0001,-630820.3125,5999,1.1920928955078125e-07,-152714.78881589
490000,386,1606855680.0,0.9958944320678711,1268,21.79,-16.97739028930664,0.0001,-135677.359375,6124,0.0,-156246.31980807998
500000,394,1716976128.0,0.9956639409065247,1267,22.88,-16.97512435913086,0.0001,-591601.0,6249,0.0,-164172.65120743998
510000,402,2355021824.0,0.9958319664001465,1266,21.61,-16.976390838623047,0.0001,-179098.15625,6374,0.0,-144588.0248877
520000,410,2918596096.0,0.995339572429657,1266,20.02,-16.970909118652344,0.0001,-725160.625,6499,0.0,-142151.76694262
530000,418,1513135232.0,0.995380163192749,1265,20.47,-16.9709529876709,0.0001,-444006.84375,6624,5.960464477539063e-08,-133994.40865524
540000,427,2751421696.0,0.9949497580528259,1264,20.25,-16.965879440307617,0.0001,-674038.375,6749,0.0,-130324.36363685998
550000,435,1126896768.0,0.9940299987792969,1263,20.52,-16.954730987548828,0.0001,-402016.0625,6874,0.0,-134781.07751864998
560000,443,2674492416.0,0.9943585395812988,1262,21.33,-16.958362579345703,0.0001,-628117.375,6999,-1.1920928955078125e-07,-140884.35470925
570000,451,3505458688.0,0.9942660331726074,1262,17.99,-16.957460403442383,0.0001,-553187.5625,7124,0.0,-139820.73907652
580000,459,3230800640.0,0.9938647747039795,1261,21.45,-16.952415466308594,0.0001,-702412.0,7249,0.0,-144831.5062254
590000,467,3381446144.0,0.9937677383422852,1260,17.8,-16.951366424560547,0.0001,-837092.0625,7374,0.0,-130938.26090874002
600000,476,3404470016.0,0.9937047958374023,1260,19.22,-16.950477600097656,0.0001,-779252.875,7499,1.1920928955078125e-07,-134292.35787436
610000,484,2972151296.0,0.9928781390190125,1259,21.18,-16.940690994262695,0.0001,-716849.25,7624,0.0,-137091.65478080002
620000,492,2489806336.0,0.992438793182373,1258,21.98,-16.934892654418945,0.0001,-434606.6875,7749,-1.1920928955078125e-07,-147806.0283369
630000,500,3279846144.0,0.9920148253440857,1258,19.4,-16.929832458496094,0.0001,-761680.25,7874,0.0,-129734.47447233001
640000,508,2067170048.0,0.9919001460075378,1257,17.98,-16.928871154785156,0.0001,-572541.6875,7999,0.0,-118228.78688546
650000,517,1919981312.0,0.9921402335166931,1256,18.57,-16.931671142578125,0.0001,-454490.6875,8124,0.0,-122195.88616829999
660000,525,1286399488.0,0.9923427104949951,1256,19.97,-16.934720993041992,0.0001,-473032.5,8249,0.0,-127136.56349749
670000,533,2357797888.0,0.9918654561042786,1255,19.22,-16.927915573120117,0.0001,-526597.4375,8374,0.0,-125537.92306947002
680000,541,2053739776.0,0.9915542602539062,1255,19.26,-16.924388885498047,0.0001,-626959.875,8499,0.0,-128942.68983642999
690000,549,2658470656.0,0.991733729839325,1254,21.8,-16.92633628845215,0.0001,-689125.25,8624,-1.1920928955078125e-07,-146037.05670385
700000,558,2464318976.0,0.9915916919708252,1254,20.49,-16.924877166748047,0.0001,-698831.8125,8749,-1.1920928955078125e-07,-137651.42216512
710000,566,3192894720.0,0.9911927580833435,1253,20.0,-16.920793533325195,0.0001,-224339.53125,8874,0.0,-124627.60140613001
720000,574,3351734784.0,0.9908750653266907,1253,18.73,-16.916440963745117,0.0001,-591736.375,8999,0.0,-119905.30614274
730000,582,2230919424.0,0.9910929799079895,1252,19.25,-16.91930389404297,0.0001,-646026.1875,9124,-1.1920928955078125e-07,-113366.28615199999
740000,590,1926885376.0,0.9911299347877502,1252,21.19,-16.920011520385742,0.0001,-393199.21875,9249,1.1920928955078125e-07,-145621.62327093998
750000,599,3380261120.0,0.9908406138420105,1251,22.64,-16.916078567504883,0.0001,-834656.0625,9374,0.0,-140488.79312976997
760000,607,2626807296.0,0.9909860491752625,1251,23.83,-16.9177303314209,0.0001,-661680.6875,9499,0.0,-164255.92217818
770000,615,2151518976.0,0.9909380078315735,1251,21.28,-16.91625213623047,0.0001,-360189.0625,9624,5.960464477539063e-08,-130853.18060688
780000,623,2733640704.0,0.9901147484779358,1250,20.18,-16.90715789794922,0.0001,-689194.0,9749,1.1920928955078125e-07,-120781.16916407998
790000,631,2276151552.0,0.9900603294372559,1250,19.27,-16.9060115814209,0.0001,-586068.5625,9874,0.0,-123918.41899147998
800000,640,1722283648.0,0.9893906712532043,1249,21.3,-16.898283004760742,0.0001,-556785.5,9999,0.0,-135056.17877563
810000,648,1050203648.0,0.9890978336334229,1249,19.69,-16.89466667175293,0.0001,-442852.0,10124,0.0,-135228.28816264
820000,656,1748550912.0,0.9893223643302917,1248,23.59,-16.896827697753906,0.0001,-475152.3125,10249,0.0,-145044.47711934
830000,664,3163939072.0,0.9892334938049316,1248,21.5,-16.896400451660156,0.0001,-826823.125,10374,2.384185791015625e-07,-136165.50371182003
840000,672,1964192384.0,0.9889500141143799,1248,20.81,-16.892499923706055,0.0001,-547337.6875,10499,0.0,-137923.22592889
850000,681,2627026432.0,0.9889230728149414,1247,23.25,-16.891942977905273,0.0001,-668087.0,10624,0.0,-137739.93009695
860000,689,3032856064.0,0.989067018032074,1247,23.62,-16.893949508666992,0.0001,-587945.0,10749,0.0,-149078.83891584998
870000,697,3469063424.0,0.9892314076423645,1247,23.09,-16.895912170410156,0.0001,-789610.3125,10874,1.1920928955078125e-07,-143753.32411968
880000,705,2364924416.0,0.9890236854553223,1246,21.82,-16.8934268951416,0.0001,-615473.375,10999,-1.1920928955078125e-07,-133701.15203743998
890000,713,2605071872.0,0.9891560673713684,1246,20.85,-16.895347595214844,0.0001,-402611.78125,11124,0.0,-135247.03678253
900000,722,3137226240.0,0.9890801906585693,1246,19.45,-16.89436149597168,0.0001,-641169.625,11249,0.0,-124470.76368875001
910000,730,1810575744.0,0.9889235496520996,1245,18.16,-16.892148971557617,0.0001,-538016.3125,11374,-1.1920928955078125e-07,-115607.59274866
920000,738,2590068224.0,0.9888585209846497,1245,21.53,-16.89147186279297,0.0001,-693163.625,11499,0.0,-141687.47210961
930000,746,2102744832.0,0.9883208870887756,1245,22.46,-16.885053634643555,0.0001,-650586.6875,11624,0.0,-143580.85939929998
940000,755,3308406016.0,0.9876180291175842,1245,20.11,-16.875913619995117,0.0001,-758359.1875,11749,0.0,-134049.78980368
950000,763,3395921920.0,0.9877330660820007,1244,20.44,-16.87739372253418,0.0001,-767233.125,11874,-1.1920928955078125e-07,-123925.71181111998
960000,771,2011430144.0,0.9874584078788757,1244,21.6,-16.873964309692383,0.0001,-568806.25,11999,2.384185791015625e-07,-129959.53063868
970000,779,1964231424.0,0.9877575039863586,1244,24.62,-16.877525329589844,0.0001,-227810.46875,12124,0.0,-153526.24517394
980000,787,1073671296.0,0.987027108669281,1243,21.73,-16.86890411376953,0.0001,-431658.6875,12249,-1.1920928955078125e-07,-121730.48671827001
990000,796,1837203712.0,0.987013041973114,1243,22.21,-16.868318557739258,0.0001,-462590.0,12374,0.0,-132707.49215736997
1000000,804,1199209600.0,0.987174928188324,1243,22.2,-16.87106704711914,0.0001,-371204.6875,12499,0.0,-115750.02289790999
