rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/policy_loss,train/explained_variance,train/std,time/total_timesteps,time/time_elapsed
-429747.6148472199,0.0001,124,24.83,1679,-17.02507972717285,7566465536.0,-1415455.125,-1.7881393432617188e-06,0.9997742176055908,10000,5
-461046.89611164,0.0001,249,26.78,1706,-17.024934768676758,7588936192.0,-1380675.75,-2.384185791015625e-07,0.9998266696929932,20000,11
-481514.4982616401,0.0001,374,28.2,1712,-17.02409553527832,8224747520.0,-1410661.75,-7.152557373046875e-07,0.9997543692588806,30000,17
-501364.73247333,0.0001,499,29.61,1709,-17.02543830871582,8462866944.0,-1447837.25,-1.1920928955078125e-07,0.9998695254325867,40000,23
-501577.1303396,0.0001,624,29.11,1708,-17.028343200683594,8605523968.0,-1485683.25,0.0,1.0000925064086914,50000,29
-394232.0533814701,0.0001,749,23.06,1707,-17.036083221435547,8913879040.0,-1521252.625,-1.1920928955078125e-07,1.0007634162902832,60000,35
-521589.78966479,0.0001,874,31.14,1707,-17.032794952392578,7427866624.0,-1354614.375,0.0,1.0004768371582031,70000,41
-452948.68999626994,0.0001,999,26.21,1701,-17.031272888183594,7383031808.0,-1379195.25,0.0,1.0002998113632202,80000,47
-402546.87101529003,0.0001,1124,23.7,1697,-17.02922821044922,8830627840.0,-1469806.875,0.0,1.0002082586288452,90000,53
-456264.4811562501,0.0001,1249,26.95,1695,-17.024707794189453,7691374592.0,-1431799.875,0.0,0.9997445940971375,100000,58
-395933.1408282,0.0001,1374,23.08,1693,-17.02959442138672,9705140224.0,-1608196.375,5.960464477539063e-08,1.0002013444900513,110000,64
-501796.64608967997,0.0001,1499,29.69,1683,-17.031339645385742,7418129408.0,-1389836.25,0.0,1.000361442565918,120000,71
-380040.85069873,0.0001,1624,22.47,1675,-17.036670684814453,8709537792.0,-1493401.0,0.0,1.0007895231246948,130000,77
-418289.81967393984,0.0001,1749,25.14,1674,-17.036903381347656,6279797760.0,-1275286.875,0.0,1.0008145570755005,140000,83
-415332.34171536006,0.0001,1874,24.5,1674,-17.041013717651367,11353618432.0,-1738190.25,5.960464477539063e-08,1.001118540763855,150000,89
-467598.83987863996,0.0001,1999,28.42,1674,-17.035951614379883,7626091008.0,-1460901.75,5.960464477539063e-08,1.0006722211837769,160000,95
-422148.39721173,0.0001,2124,25.67,1673,-17.036182403564453,5756843520.0,-1219272.625,0.0,1.0007373094558716,170000,101
-398373.36192965,0.0001,2249,23.56,1673,-17.034645080566406,6743632896.0,-1153538.75,0.0,1.000676155090332,180000,107
-404163.25835229,0.0001,2374,23.44,1673,-17.028881072998047,7016233984.0,-1386519.625,1.1920928955078125e-07,1.0001105070114136,190000,113
-437548.23800559,0.0001,2499,26.97,1671,-17.0264892578125,8107656192.0,-1442598.5,1.1920928955078125e-07,0.9999228119850159,200000,119
-418478.93532823,0.0001,2624,24.99,1668,-17.02427864074707,7492712960.0,-1357463.25,0.0,0.9997747540473938,210000,125
-395388.65516983,0.0001,2749,24.01,1666,-17.022655487060547,9550858240.0,-1531533.75,0.0,0.9996581077575684,220000,132
-508527.50096151,0.0001,2874,31.2,1660,-17.022462844848633,6998542848.0,-1345256.375,-1.1920928955078125e-07,0.9995977282524109,230000,138
-362029.7413027899,0.0001,2999,20.98,1658,-17.0249080657959,7748752384.0,-1355658.75,0.0,0.999870777130127,240000,144
-427137.13658535,0.0001,3124,25.2,1658,-17.025835037231445,6694629376.0,-1132461.625,0.0,0.9998531341552734,250000,150
-404150.3654969899,0.0001,3249,24.21,1657,-17.028017044067383,6600055808.0,-1279953.25,0.0,1.0001074075698853,260000,156
-395216.32238251,0.0001,3374,23.7,1657,-17.02442741394043,8050778112.0,-1395849.75,1.1920928955078125e-07,0.9997971653938293,270000,162
-366028.41749068006,0.0001,3499,21.91,1656,-17.026002883911133,7102562304.0,-1330910.625,0.0,0.9999160766601562,280000,169
-354444.65159048,0.0001,3624,21.72,1656,-17.027585983276367,7898622976.0,-1358871.25,-1.1920928955078125e-07,1.0000871419906616,290000,175
-421920.15780597,0.0001,3749,25.96,1656,-17.025184631347656,7218680832.0,-1362643.25,1.1920928955078125e-07,0.9998052716255188,300000,181
-406616.71168534,0.0001,3874,24.17,1655,-17.02446174621582,7732825088.0,-1395361.375,0.0,0.9997672438621521,310000,187
-394297.5071094701,0.0001,3999,23.61,1655,-17.02686882019043,7174132736.0,-1360765.875,0.0,0.9999459385871887,320000,193
-347794.12628826,0.0001,4124,20.38,1654,-17.024229049682617,8779512832.0,-1451469.25,-1.1920928955078125e-07,0.999733030796051,330000,199
