time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/iterations,rollout/return_std,train/learning_rate,train/delta_std
2067,4,10000,404.0,-16126503.9053226,,,,,
2066,9,20000,503.75,-20125759.853620254,,,,,
2067,14,30000,541.6153846153846,-21660876.977834847,,,,,
2068,19,40000,602.7333333333333,-24126023.604238737,,,,,
2076,24,50000,290.0,-11548212.788087,1.1266537182363923e-11,0,19970644.0,0.0018,0.05
2073,28,60000,404.2,-16120622.2438959,,,,,
2074,33,70000,541.6923076923077,-21653248.454610925,,,,,
2074,38,80000,358.6666666666667,-14185472.825326333,1.0948482571937479e-11,1,20550792.0,0.0018,0.05
2073,43,90000,583.0,-23318763.279143713,,,,,
2075,48,100000,608.7,-24351529.2853299,,,,,
2075,52,110000,6.0,-138127.36142,1.1075424431739034e-11,2,20315248.0,0.0018,0.05
2075,57,120000,505.0,-20184218.50455875,,,,,
2075,62,130000,629.125,-25163027.18817875,,,,,
2076,67,140000,640.0909090909091,-25598922.60244882,,,,,
2076,72,150000,,,1.1281053348410897e-11,3,19944946.0,0.0018,0.05
2077,77,160000,404.2,-16143153.193982799,,,,,
2078,81,170000,420.75,-16809521.247738503,,,,,
2079,86,180000,,,1.0998147705054695e-11,4,20457990.0,0.0018,0.05
2081,91,190000,754.25,-30109425.02605625,,,,,
2081,96,200000,717.4285714285714,-28687275.94051257,,,,,
2081,100,210000,671.25,-26844976.048856333,,,,,
2081,105,220000,174.16666666666666,-6857811.846882667,1.101379317608453e-11,5,20428930.0,0.0018,0.05
2081,110,230000,239.23076923076923,-9437394.639694307,,,,,
2080,115,240000,503.5,-20082678.185976002,1.1779185266069803e-11,6,19101490.0,0.0018,0.05
2082,120,250000,603.6,-24135754.685319,,,,,
2082,124,260000,509.0833333333333,-20289792.13382692,,,,,
2082,129,270000,579.2142857142857,-23125188.268502645,,,,,
2082,134,280000,1000.0,-40118133.355665,1.1057245397072535e-11,7,20348648.0,0.0018,0.05
2083,139,290000,1000.0,-40089703.95374725,,,,,
2085,143,300000,640.5454545454545,-25617930.17076882,,,,,
2084,148,310000,695.8461538461538,-27856570.141292077,,,,,
2084,153,320000,339.3333333333333,-13501833.360407332,1.1785202154446228e-11,8,19091738.0,0.0018,0.05
2084,158,330000,603.6,-24147751.7146758,,,,,
2083,163,340000,548.9090909090909,-21947745.232998814,,,,,
2083,168,350000,15.666666666666666,-362747.14351100003,1.0903990384225626e-11,9,20634648.0,0.0018,0.05
2083,172,360000,507.8333333333333,-20198309.400965,,,,,
2082,177,370000,630.875,-25178146.596140504,,,,,
2082,182,380000,731.5454545454545,-29227846.486046184,,,,,
2082,187,390000,8.75,-221546.51519,1.130030010537686e-11,10,19910974.0,0.0018,0.05
2081,192,400000,277.8181818181818,-11073564.933931546,,,,,
2081,196,410000,5.0,-128217.589019,1.1759845701397875e-11,11,19132904.0,0.0018,0.05
2081,201,420000,751.25,-30112467.664632004,,,,,
2081,206,430000,834.1666666666666,-33444225.13746217,,,,,
2082,211,440000,728.9090909090909,-29154170.314452816,,,,,
2082,216,450000,716.2857142857143,-28658220.814588495,,,,,
2082,220,460000,404.8,-16195053.5382884,1.1776780939332099e-11,12,19105390.0,0.0018,0.05
2082,225,470000,574.8571428571429,-22898874.392622717,,,,,
2082,230,480000,638.9090909090909,-25532499.649518635,,,,,
2082,235,490000,,,1.1048256927381761e-11,13,20365202.0,0.0018,0.05
2081,240,500000,408.6,-16168484.8086006,,,,,
2081,244,510000,422.4166666666667,-16781241.8483875,,,,,
2081,249,520000,,,1.105141759355499e-11,14,20359378.0,0.0018,0.05
2081,254,530000,502.5,-20078521.321389664,,,,,
2081,259,540000,558.0,-22296507.864017,,,,,
2080,264,550000,535.8666666666667,-21427036.12945107,,,,,
2080,269,560000,510.5,-20210693.4459105,1.0998918789639767e-11,15,20456556.0,0.0018,0.05
2078,274,570000,671.6666666666666,-26810006.810124997,,,,,
2078,279,580000,469.15384615384613,-18696771.250765536,,,,,
2078,283,590000,7.333333333333333,-177864.037564,1.1052847873060934e-11,16,20356744.0,0.0018,0.05
2078,288,600000,188.72727272727272,-7455270.671690181,,,,,
2078,293,610000,340.26666666666665,-13543815.33193813,,,,,
2078,298,620000,1000.0,-40059320.907217,1.1288810164433727e-11,17,19931240.0,0.0018,0.05
2078,303,630000,369.6363636363636,-14744492.25102809,,,,,
