rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/delta_std,rollout/return_std,train/step_size,train/iterations,train/learning_rate
342.5,2050,4,-13272588.622304,10000,,,,,
506.875,2050,9,-19846285.208490126,20000,,,,,
547.9230769230769,2048,14,-21444846.13032677,30000,,,,,
608.2,2050,19,-23909795.943664603,40000,,,,,
669.6666666666666,2049,24,-26525261.903820336,50000,0.05,19634978.0,1.1459141795178152e-11,0,0.0018
801.8,2049,29,-31882592.301160205,60000,,,,,
704.9,2049,34,-27959137.492983002,70000,,,,,
696.6923076923077,2050,39,-27651003.341409463,80000,,,,,
1000.0,2051,43,-39824100.311375,90000,0.05,18934526.0,1.1883054436279128e-11,1,0.0018
754.0,2051,48,-29713374.2285635,100000,,,,,
551.9090909090909,2051,53,-21804546.719365086,110000,,,,,
541.0,2050,58,-21360706.424695928,120000,,,,,
507.75,2050,63,-19988338.803977747,130000,0.05,20235870.0,1.1118869713833135e-11,2,0.0018
671.8333333333334,2050,68,-26627535.418802496,140000,,,,,
647.5454545454545,2050,73,-25500338.289034452,150000,,,,,
701.7692307692307,2051,78,-27713973.69476054,160000,,,,,
1000.0,2050,82,-39705859.6185915,170000,0.05,19708838.0,1.1416197848168608e-11,3,0.0018
1000.0,2050,87,-39618522.296290755,180000,,,,,
877.0,2050,92,-34763661.64439563,190000,,,,,
821.4545454545455,2051,97,-32540979.196530458,200000,,,,,
740.6,2051,102,-29274815.380243532,210000,,,,,
508.0,2051,107,-19973329.903330997,220000,0.05,17487056.0,1.2866659127031e-11,4,0.0018
672.0,2051,112,-26578511.702957828,230000,,,,,
643.6363636363636,2050,117,-25474355.993858542,240000,,,,,
698.4615384615385,2051,121,-27651075.701970305,250000,,,,,
,2051,126,,260000,0.05,17652104.0,1.2746356053972008e-11,5,0.0018
1000.0,2050,131,-39702736.973858505,270000,,,,,
1000.0,2050,136,-39688336.831571005,280000,,,,,
780.6666666666666,2050,141,-30953598.163725667,290000,,,,,
835.5,2050,146,-33159679.827192422,300000,,,,,
802.6666666666666,2050,151,-31857645.74943594,310000,,,,,
410.0,2050,156,-16189324.641973,320000,0.05,15953977.0,1.4103065937298709e-11,6,0.0018
578.5714285714286,2050,160,-22922904.354762144,330000,,,,,
641.7272727272727,2050,165,-25469408.079490546,340000,,,,,
605.9333333333333,2050,170,-24008101.854670268,350000,,,,,
511.5,2050,175,-20142417.318442002,360000,0.05,19799114.0,1.136414486818671e-11,7,0.0018
674.3333333333334,2050,180,-26566773.086337168,370000,,,,,
782.8888888888889,2050,185,-30959200.17727256,380000,,,,,
755.9166666666666,2050,190,-29927933.446503002,390000,,,,,
804.7333333333333,2050,195,-31906391.24685274,400000,,,,,
506.0,2050,199,-19554181.892298,410000,0.05,15873363.0,1.4174690067536577e-11,8,0.0018
676.8333333333334,2050,204,-26529595.229255166,420000,,,,,
676.6666666666666,2050,209,-26600324.585699446,430000,,,,,
757.5,2050,214,-29865844.03130659,440000,,,,,
740.2666666666667,2051,219,-29240279.880591672,450000,,,,,
672.6666666666666,2051,224,-26436810.873385,460000,0.05,17504788.0,1.2853626149555986e-11,9,0.0018
578.0,2051,229,-22736919.478536148,470000,,,,,
