time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/delta_std,train/iterations,rollout/return_std,train/learning_rate,train/step_size
4,10000,2008,1000.0,-40164667.930358,,,,,
9,20000,2006,670.1666666666666,-26881739.923972666,,,,,
14,30000,2008,639.7272727272727,-25621576.46146809,,,,,
19,40000,2010,603.3333333333334,-24149456.415000066,,,,,
24,50000,2011,1000.0,-40202064.58974,0.05,0,19940098.0,0.0018,1.1283795946226416e-11
29,60000,2011,1000.0,-40186752.198983,,,,,
34,70000,2012,875.75,-35141700.46192675,,,,,
39,80000,2013,819.6363636363636,-32878106.545749005,,,,,
44,90000,2013,858.2857142857143,-34429897.29643322,,,,,
49,100000,2013,338.0,-13516004.274116,0.05,1,16084382.0,0.0018,1.398872510882665e-11
54,110000,2012,503.0,-20106330.5359205,,,,,
59,120000,2012,602.4,-24085560.162239097,,,,,
64,130000,2012,13.0,-337389.9289745,0.05,2,20431428.0,0.0018,1.1012446163305434e-11
69,140000,2012,406.8,-16234722.0262568,,,,,
74,150000,2012,506.0,-20221040.5864364,,,,,
79,160000,2012,505.14285714285717,-20202636.038339358,,,,,
84,170000,2012,669.6666666666666,-26866741.032268334,0.05,3,20621870.0,0.0018,1.0910746264802818e-11
89,180000,2012,576.5714285714286,-23072439.082498718,,,,,
94,190000,2012,641.2727272727273,-25655800.990146454,,,,,
99,200000,2012,605.3333333333334,-24195784.619731262,,,,,
104,210000,2013,1000.0,-40046115.755845994,0.05,4,19920558.0,0.0018,1.1294864349364886e-11
109,220000,2013,1000.0,-40110391.78661674,,,,,
114,230000,2013,701.6,-28161498.6154979,,,,,
119,240000,2013,751.3333333333334,-30157210.282489087,,,,,
124,250000,2013,339.0,-13490959.742682999,0.05,5,19152358.0,0.0018,1.1747901262904037e-11
129,260000,2013,503.8333333333333,-20131672.684113335,,,,,
134,270000,2013,669.2222222222222,-26799567.405200776,,,,,
139,280000,2013,729.3636363636364,-29200810.911476728,,,,,
144,290000,2013,,,0.05,6,19068918.0,0.0018,1.1799306323667658e-11
148,300000,2013,670.6666666666666,-26873285.835954666,,,,,
153,310000,2013,628.875,-25162408.938113123,,,,,
158,320000,2013,587.5833333333334,-23498042.642825004,,,,,
163,330000,2013,,,0.05,7,19940278.0,0.0018,1.1283693597541333e-11
168,340000,2013,668.6666666666666,-26816742.71780533,,,,,
173,350000,2013,628.125,-25174037.118398376,,,,,
178,360000,2013,702.5,-28170745.0272115,,,,,
183,370000,2014,771.1538461538462,-30951045.901799537,,,,,
188,380000,2014,801.6666666666666,-32160559.7565384,,,,,
193,390000,2014,673.0,-26895411.175712,0.05,8,16090059.0,0.0018,1.3983789820537496e-11
198,400000,2014,803.8,-32194911.2156426,,,,,
203,410000,2014,877.375,-35067663.4519615,,,,,
