time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/ent_coef
10000,2474,148393568.0,61,-119.78108215332031,10.22,42534.04296875,161,0.0055,660,-155347.92457225002,58.3765983581543
20000,4974,71837848.0,122,-20.499929428100586,6.3,23652.744140625,163,0.0055,2225,58057.6,172.91409301757812
30000,7474,117005200.0,183,-4.305810451507568,6.12,-6086.1845703125,163,0.0055,3778,63208.9,235.4003143310547
40000,9974,177035392.0,237,-6.3163347244262695,6.06,-1938.236572265625,168,0.0055,5355,72090.4838049,262.88238525390625
50000,12474,70085952.0,294,15.072394371032715,6.28,-57778.03515625,169,0.0055,6729,70469.97861815,192.6231231689453
60000,14974,36791136.0,351,4.450280666351318,6.03,-65404.296875,170,0.0055,8373,73003.4,95.02867889404297
70000,17474,11332468.0,406,0.8591071963310242,6.01,-66894.1953125,172,0.0055,10011,73202.4,69.15603637695312
80000,19974,25699576.0,461,-18.189664840698242,9.13,-62745.1953125,173,0.0055,11539,-2603.193569830001,93.66077423095703
90000,22474,20278554.0,520,-3.681697130203247,6.04,-59556.71875,173,0.0055,13151,72889.4332352,76.91595458984375
100000,24974,10786191.0,576,6.301712989807129,6.06,-65943.953125,173,0.0055,14741,72686.80139518,82.8259506225586
110000,27474,85805824.0,634,-0.8990088701248169,6.0,-64104.73828125,173,0.0055,16364,73292.9,49.40404510498047
120000,29974,19783112.0,691,0.6989315152168274,6.0,-67805.9375,173,0.0055,17982,72681.2,49.05815124511719
130000,32474,21514262.0,745,4.289861679077148,6.12,-62492.1015625,174,0.0055,19558,72078.03367161,55.91903305053711
140000,34974,27521246.0,798,18.938804626464844,6.11,-64552.51953125,175,0.0055,21152,72181.26430216999,75.8588638305664
150000,37474,14557870.0,851,7.96638298034668,6.3,-65052.16015625,176,0.0055,22719,70263.79315746,62.0319938659668
160000,39974,6328396.0,909,3.4550271034240723,6.0,-67365.5625,175,0.0055,24383,73298.3,38.039222717285156
170000,42474,22438122.0,966,27.791584014892578,6.03,-52207.0625,175,0.0055,25792,70277.16109119,115.2969970703125
180000,44974,28399506.0,1019,5.236554145812988,6.0,-52513.046875,176,0.0055,27335,73282.1,90.97218322753906
190000,47474,34923736.0,1075,20.647432327270508,6.05,-53505.3359375,176,0.0055,28944,72680.78147657,190.98692321777344
200000,49974,30430712.0,1130,-2.7261104583740234,6.0,-66106.6796875,176,0.0055,30597,73276.7,55.566078186035156
210000,52474,4859450.0,1185,-0.49636971950531006,6.0,-67370.5703125,177,0.0055,32219,73303.7,43.84437942504883
220000,54974,27769308.0,1241,6.0626139640808105,6.0,-70518.1875,177,0.0055,33862,73301.9,44.3156852722168
230000,57474,46996524.0,1300,18.857995986938477,6.01,-40442.578125,176,0.0055,35086,73198.8,158.37306213378906
240000,59974,18729718.0,1360,-0.6873018741607666,6.04,-60139.1953125,176,0.0055,36721,72892.2,73.62770080566406
250000,62474,28124848.0,1418,-0.8829740881919861,6.42,-45368.8203125,176,0.0055,38306,69034.29280254,75.53275299072266
260000,64974,38409792.0,1475,-55.633995056152344,6.01,-76593.2421875,176,0.0055,39896,70166.4,115.8701400756836
270000,67474,11154120.0,1531,7.562890529632568,6.01,-63951.06640625,176,0.0055,41461,72483.5,79.88457489013672
280000,69974,28008190.0,1590,12.615681648254395,6.05,-45996.453125,176,0.0055,42829,72295.27358521,133.93148803710938
290000,72474,43692192.0,1650,-8.610269546508789,6.47,-48043.56640625,175,0.0055,44399,60960.07297279,188.81407165527344
300000,74974,25179000.0,1711,9.429667472839355,6.2,-47212.0703125,175,0.0055,45986,66937.17395815,197.0260009765625
310000,77474,129919104.0,1770,-6.62897253036499,10.06,-41403.9140625,175,0.0055,47421,-2086.6464593399996,289.36566162109375
320000,79974,15747212.0,1822,4.156225204467773,6.01,-62369.5,175,0.0055,49027,73203.3,123.60394287109375
330000,82474,15317456.0,1880,3.3657896518707275,6.04,-64076.078125,175,0.0055,50688,72900.3,74.90479278564453
340000,84974,18241864.0,1941,-0.9223750829696655,6.0,-66229.078125,175,0.0055,52308,73308.94736784,61.583953857421875
350000,87474,1910455552.0,2000,-274.85247802734375,21.49,140675.65625,174,0.0055,53569,-533253.03435596,2708.464599609375
360000,89974,128071328.0,2057,48.94666290283203,6.09,457.191650390625,174,0.0055,54814,67454.00047208,385.3280029296875
370000,92474,53083656.0,2113,1.2405037879943848,6.51,-36955.671875,175,0.0055,56399,60086.14984301,107.69084167480469
380000,94974,48904228.0,2170,1.8855960369110107,6.14,-31668.359375,175,0.0055,57871,71379.96182787,291.97930908203125
390000,97474,995738560.0,2223,61.051025390625,13.95,119641.453125,175,0.0055,59324,-186888.74206676998,1501.371337890625
400000,99974,124170760.0,2275,2.871290683746338,6.12,-60204.54296875,175,0.0055,60854,69961.98367172,131.4697723388672
410000,102474,10746792.0,2340,-2.874958038330078,6.0,-63608.24609375,175,0.0055,62510,73104.6,49.613040924072266
420000,104974,28033152.0,2399,2.3455021381378174,6.0,-58334.0703125,175,0.0055,64175,73307.3,35.057838439941406
430000,107474,42687764.0,2461,51.16053771972656,6.72,-47318.5390625,174,0.0055,65592,60775.13051271,428.1515808105469
440000,109974,122368440.0,2530,9.089273452758789,6.53,-33659.96484375,173,0.0055,66784,56029.5,290.2509460449219
450000,112474,159111712.0,2598,2.5155911445617676,7.03,-11476.08984375,173,0.0055,68087,50649.16358657001,728.4111328125
