train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef,train/actor_loss
0.0055,-1251028.18869935,48786668.0,78.41,10000,2474,-63.41252136230469,112,246,40,51.46373748779297,37311.8984375
0.0055,-137284.33755886002,49406612.0,49.78,20000,4974,1.1071146726608276,325,231,86,79.82559204101562,31639.48046875
0.0055,-247717.42623941,29184604.0,72.47,30000,7474,14.974705696105957,479,226,132,79.275390625,36028.703125
0.0055,-454636.0933955799,88671216.0,100.64,40000,9974,28.277320861816406,576,223,178,81.609375,34401.39453125
0.0055,-125887.42501121,37443252.0,111.51,50000,12474,-3.960669755935669,669,222,225,31.563573837280273,12751.84375
0.0055,-310251.33298992,40484568.0,106.52,60000,14974,-3.0697176456451416,761,221,271,33.678321838378906,11971.4453125
0.0055,-374817.18864532,83664624.0,111.32,70000,17474,12.967449188232422,848,220,317,46.852291107177734,3857.126953125
0.0055,-129975.86388927001,18682758.0,89.25,80000,19974,-2.4465672969818115,955,220,363,38.547821044921875,1696.7750244140625
0.0055,-474963.4551847401,37048528.0,123.66,90000,22474,16.20733070373535,1023,219,409,247.6095733642578,19444.859375
0.0055,-587272.28176391,60062296.0,162.38,100000,24974,3.5900959968566895,1080,219,455,45.87419128417969,10937.8544921875
0.0055,-493204.54019608995,39071000.0,169.07,110000,27474,15.967583656311035,1150,219,501,73.57877349853516,14614.4609375
0.0055,-426324.1227943099,38356880.0,165.97,120000,29974,-3.701716423034668,1200,219,547,38.620697021484375,6905.7998046875
0.0055,-729673.62124095,40270040.0,170.5,130000,32474,13.085383415222168,1261,218,593,69.42388916015625,13134.427734375
0.0055,-707857.89593036,22584334.0,159.53,140000,34974,5.6013875007629395,1320,218,639,42.977821350097656,10467.447265625
0.0055,-274099.09108525,80009320.0,199.95,150000,37474,-1.3991972208023071,1354,218,685,30.849441528320312,-559.8287353515625
0.0055,-684471.8660442298,58434124.0,109.65,160000,39974,44.30891799926758,1455,218,731,79.70646667480469,20864.8359375
0.0055,-106701.91355004003,41490520.0,96.25,170000,42474,-2.899831771850586,1548,218,777,25.305545806884766,1125.9637451171875
0.0055,-141396.66172776002,28347172.0,177.6,180000,44974,-1.561260461807251,1600,218,823,36.26344680786133,-8010.26513671875
0.0055,-251020.87145816,88301592.0,241.7,190000,47474,7.836416244506836,1629,218,869,35.54819107055664,-7816.96875
0.0055,-672851.4268698201,20647304.0,210.97,200000,49974,30.70234489440918,1693,218,915,67.94943237304688,10821.484375
0.0055,-605186.46229132,13582985.0,267.15,210000,52474,1.4877073764801025,1705,218,961,33.22956085205078,-6854.283203125
0.0055,-660874.57896907,52180404.0,314.81,220000,54974,11.57661247253418,1723,218,1007,45.77589797973633,9025.349609375
0.0055,-621740.4511773399,7533522.5,369.39,230000,57474,6.444082260131836,1743,218,1053,29.09808921813965,1445.6942138671875
0.0055,-891390.49743166,39869472.0,237.47,240000,59974,60.663875579833984,1817,218,1099,170.75718688964844,33062.0625
0.0055,-946756.0771540799,21126660.0,199.37,250000,62474,0.3606528043746948,1842,218,1145,18.95490264892578,8570.3916015625
0.0055,-859102.1681446498,11314604.0,262.66,260000,64974,-6.486621379852295,1863,218,1191,23.37451171875,10358.2158203125
0.0055,-727830.8685495501,9731204.0,334.83,270000,67474,5.542279243469238,1886,218,1237,19.58981704711914,-4782.5771484375
0.0055,-420019.54153635,16317552.0,416.19,280000,69974,-62.330955505371094,1913,218,1283,60.723880767822266,-4965.84912109375
0.0055,-843203.8716685501,8886278.0,357.13,290000,72474,9.589834213256836,1947,218,1330,22.616910934448242,6364.9619140625
0.0055,-721040.87878718,7122946.0,330.84,300000,74974,-1.6763558387756348,1983,217,1376,17.94524383544922,986.8362426757812
0.0055,-956239.77164416,12053418.0,285.45,310000,77474,24.71631622314453,2015,217,1422,101.27174377441406,31863.982421875
0.0055,-489310.67985923,31332716.0,306.06,320000,79974,-58.108909606933594,2044,217,1468,30.19318389892578,46.068115234375
0.0055,-1350307.09930198,151717920.0,181.44,330000,82474,118.87062072753906,2126,217,1514,768.07470703125,140138.078125
0.0055,-511709.84031734,49951288.0,79.49,340000,84974,17.024715423583984,2243,217,1560,27.180543899536133,71867.75
0.0055,-479421.43451428006,74935536.0,143.06,350000,87474,-4.210314750671387,2254,217,1605,21.071887969970703,29801.09765625
0.0055,-485923.63522836997,87444016.0,247.69,360000,89974,-6.636296272277832,2268,218,1650,26.66710662841797,13333.9970703125
0.0055,-245246.22179228,13096321.0,332.81,370000,92474,8.071516990661621,2298,218,1695,26.114381790161133,4103.533203125
0.0055,-739242.17598143,10757476.0,347.38,380000,94974,44.59062957763672,2350,218,1740,95.29985809326172,14515.3564453125
0.0055,-869751.3685078201,30202122.0,279.76,390000,97474,-13.554435729980469,2380,218,1785,32.32553482055664,3350.3828125
0.0055,-859080.8467158302,22806686.0,283.59,400000,99974,-17.017810821533203,2398,218,1830,27.537710189819336,577.35205078125
0.0055,-281510.99169759994,35366520.0,239.72,410000,102474,10.353998184204102,2461,218,1880,103.6585922241211,28128.0390625
0.0055,-167667.13108382,6676566.5,266.19,420000,104974,7.737195014953613,2490,217,1929,31.093151092529297,12648.169921875
0.0055,-356198.05134433,5935882.0,236.73,430000,107474,22.765493392944336,2513,217,1980,30.754384994506836,6842.2529296875
0.0055,-319374.80182533,21920232.0,315.46,440000,109974,1.7329398393630981,2530,216,2029,17.060653686523438,-5814.0751953125
0.0055,-623341.28804939,8349066.0,368.13,450000,112474,22.09823226928711,2568,216,2079,28.24250602722168,5996.90869140625
0.0055,-668888.58235241,6953757.0,404.04,460000,114974,-2.286109685897827,2582,216,2129,27.24346351623535,-275.3661804199219
0.0055,-633861.06135288,7483556.5,435.9,470000,117474,13.271797180175781,2610,215,2179,40.55537796020508,284.61505126953125
0.0055,-532582.9836430298,46740792.0,354.37,480000,119974,-2.4143996238708496,2651,215,2228,28.036962509155273,-3111.4501953125
0.0055,-485811.8540860101,5193121.0,330.7,490000,122474,3.346735954284668,2679,215,2278,17.720458984375,-5850.1318359375
0.0055,-1095628.0932809499,52011996.0,205.13,500000,124974,64.56959533691406,2751,214,2328,490.8234558105469,30509.0625
0.0055,-736615.0184992799,28794200.0,138.46,510000,127474,18.450092315673828,2805,214,2377,245.0885009765625,56106.8671875
0.0055,-1119878.10383586,41206980.0,129.16,520000,129974,39.879207611083984,2891,214,2427,609.1427612304688,115173.5625
0.0055,-321828.95872875,38523984.0,58.69,530000,132474,35.816932678222656,3040,213,2477,161.83779907226562,61733.296875
0.0055,-517716.08653214993,509311232.0,108.13,540000,134974,-107.36134338378906,3126,213,2527,1698.4970703125,272817.96875
0.0055,-358441.8358765901,86689264.0,78.85,550000,137474,69.42050170898438,3263,213,2577,340.8109436035156,76298.015625
0.0055,-119784.84234059001,63851956.0,101.74,560000,139974,14.02917766571045,3340,213,2627,33.828372955322266,19198.970703125
0.0055,-114183.57437619998,53608308.0,193.43,570000,142474,-1.774579644203186,3352,212,2676,32.33950424194336,-1885.6585693359375
0.0055,-736704.69451233,268122656.0,256.01,580000,144974,114.98992919921875,3418,212,2726,902.07275390625,93529.40625
0.0055,-1325940.43744221,257722656.0,122.53,590000,147474,-17.171241760253906,3491,212,2776,223.34786987304688,87207.0546875
0.0055,-2347862.8452203,88245354496.0,166.97,600000,149974,-233.76107788085938,3563,212,2826,23058.763671875,1401613.75
0.0055,-560072.34942221,5685390336.0,92.31,610000,152474,97.03074645996094,3673,212,2876,2600.286865234375,576786.25
0.0055,-2266916.61098297,25197068288.0,123.03,620000,154974,77.35630798339844,3742,211,2925,12877.462890625,1052856.625
0.0055,-1898920.0776201899,464567468032.0,105.5,630000,157474,-43.443389892578125,3832,211,2975,81542.4375,2691592.5
0.0055,-657890.73465349,7281937920.0,95.18,640000,159974,99.12062072753906,3933,211,3025,3643.110107421875,1287187.875
0.0055,-2249328.5651202695,3775812864.0,148.85,650000,162474,46.69792175292969,3986,211,3075,169.71449279785156,934685.75
0.0055,-1650548.85889718,307443776.0,84.13,660000,164974,19.759889602661133,4097,211,3125,9.77558708190918,557109.9375
0.0055,-1112418.9038511,554493632.0,79.57,670000,167474,-4.977501392364502,4218,210,3175,0.35866010189056396,367911.0
0.0055,-3535697.2914898903,915667200.0,136.71,680000,169974,-202.93804931640625,4275,210,3225,652.9892578125,477720.90625
0.0055,-4607786.962681729,1077503721472.0,159.92,690000,172474,-336.6253662109375,4349,210,3275,59380.6171875,3817228.5
0.0055,-1403479.7649077,18538213376.0,105.61,700000,174974,152.11343383789062,4440,210,3324,14278.5947265625,1244820.125
