time/total_timesteps,train/value_loss,train/clip_fraction,time/time_elapsed,train/entropy_loss,train/n_updates,train/std,train/learning_rate,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/explained_variance,time/fps
10000,28848256091.2,0.0072998046875,9,-17.051117034256457,10,1.0038987398147583,0.0017,-1178213.9534228998,14691667968.0,-0.0031811363256565527,0.2,82.26,0.0039027086,-3.0994415283203125e-06,1009
20000,30017541412.8,0.00069580078125,19,-17.095430563390256,20,1.007468342781067,0.0017,-1302319.73260503,15027691520.0,-0.0021134266688022764,0.2,91.11,0.0020223514,-1.1920928955078125e-07,1014
30000,29170900465.6,0.00338134765625,29,-17.135278736054897,30,1.0105880498886108,0.0017,-1111981.5724581003,15748280320.0,-0.002579789281298872,0.2,77.19,0.0030357805,0.0,1017
40000,28939026923.2,0.00443115234375,39,-17.175204633176328,40,1.0141615867614746,0.0017,-960972.75195616,14896110592.0,-0.00285778735023996,0.2,66.41,0.0033894912,-1.1920928955078125e-07,1018
50000,27217600590.4,0.00328369140625,53,-17.248431508243083,60,1.019923448562622,0.0017,-972991.14987146,13366984704.0,-0.0025971751397264597,0.2,68.49,0.0032163472,0.0,930
60000,28437738795.2,0.00631103515625,63,-17.284243534505368,70,1.023302674293518,0.0017,-812032.3163160001,13778934784.0,-0.0032744019148594817,0.2,56.59,0.0037676026,0.0,942
70000,26534919313.6,0.00079345703125,73,-17.324917247891428,80,1.0269312858581543,0.0017,-1003176.22473306,12933964800.0,-0.0017179207810841036,0.2,70.42,0.0019008324,-1.1920928955078125e-07,952
80000,27853419208.0,0.00494384765625,83,-17.364759144186973,90,1.0300904512405396,0.0017,-909753.2063211799,13798266880.0,-0.0029408976652121055,0.2,63.25,0.0036519626,0.0,959
90000,27610597435.2,0.0054443359375,93,-17.404096561670304,100,1.0336469411849976,0.0017,-990537.02509713,14148438016.0,-0.0030992508909548633,0.2,69.8,0.0037750923,0.0,964
100000,26783819523.2,0.0009765625,107,-17.478854013979436,120,1.040359616279602,0.0017,-949832.6670929099,13120855040.0,-0.001891439632163383,0.2,67.69,0.0020688423,0.0,926
110000,25683242012.8,0.00137939453125,117,-17.520582407712936,130,1.0435465574264526,0.0017,-814469.21008774,12604062720.0,-0.002000090133788035,0.2,57.05,0.0025840853,-1.1920928955078125e-07,932
120000,25537873116.8,0.00458984375,128,-17.559505417943,140,1.047146201133728,0.0017,-839238.59865016,13329380352.0,-0.003061805876495782,0.2,59.26,0.003368433,2.384185791015625e-07,937
130000,25899303931.2,0.00159912109375,138,-17.59805628657341,150,1.0502713918685913,0.0017,-889628.22261094,13668474880.0,-0.0020253733236131667,0.2,63.69,0.00252632,0.0,941
140000,26141821889.6,0.004052734375,152,-17.6738265439868,170,1.0569907426834106,0.0017,-789381.7999610801,12630740992.0,-0.003236314074820257,0.2,55.23,0.0034870226,0.0,916
150000,25498214411.2,0.0010009765625,162,-17.714043448865414,180,1.0608259439468384,0.0017,-810859.75415872,13169941504.0,-0.0019319434866702067,0.2,57.88,0.00237922,-1.1920928955078125e-07,920
160000,25381378750.4,0.00467529296875,173,-17.757466301321983,190,1.0646190643310547,0.0017,-903094.3283305002,12495930368.0,-0.002813613952275773,0.2,64.08,0.0033587066,1.7881393432617188e-07,924
170000,25804183078.4,0.000927734375,183,-17.799839016795158,200,1.068382978439331,0.0017,-1029090.5844012301,13603086336.0,-0.0020116545416385633,0.2,73.87,0.0021193658,0.0,926
180000,26506727011.2,0.0013427734375,193,-17.84297353476286,210,1.0722954273223877,0.0017,-953741.4854914204,13482736640.0,-0.001961816501352587,0.2,69.19,0.002309408,0.0,928
190000,24850098713.6,0.0015869140625,208,-17.925139947235586,230,1.0793989896774292,0.0017,-828864.67898874,11663997952.0,-0.00224897879834316,0.2,59.5,0.0025556595,0.0,910
200000,24770084390.4,0.00025634765625,218,-17.966314136981964,240,1.0834242105484009,0.0017,-830170.0968945199,12417113088.0,-0.0012879544146926492,0.2,59.37,0.0012910464,1.7881393432617188e-07,913
210000,24432821430.4,0.0010009765625,228,-18.010197174549102,250,1.0872796773910522,0.0017,-844997.3267370701,12219528192.0,-0.0019197928417270306,0.2,60.36,0.0018714822,0.0,917
220000,24949857945.6,0.00582275390625,239,-18.0517500013113,260,1.090903639793396,0.0017,-868340.4281697299,12456823808.0,-0.00305919813872606,0.2,62.96,0.003451298,-2.384185791015625e-07,920
230000,24679635854.4,0.0044677734375,253,-18.13657531887293,280,1.0988742113113403,0.0017,-747556.6776660302,11900522496.0,-0.0031551408157611148,0.2,53.05,0.0033996033,0.0,906
240000,23892275745.6,0.002587890625,264,-18.179633797705172,290,1.1027055978775024,0.0017,-741288.8772293102,13322314752.0,-0.0027472585863506536,0.2,53.29,0.0031351647,-1.1920928955078125e-07,908
250000,23275061553.6,0.00225830078125,274,-18.22366409152746,300,1.1069732904434204,0.0017,-725996.7369778301,11447224320.0,-0.002614235312285018,0.2,51.77,0.0027134852,0.0,911
260000,23364570908.8,0.00023193359375,284,-18.26632187217474,310,1.110600471496582,0.0017,-717339.19550109,11475791872.0,-0.0013827834784024163,0.2,50.72,0.0013931268,0.0,914
270000,23351239126.4,0.00352783203125,294,-18.306399071216582,320,1.1143697500228882,0.0017,-946168.57448897,11425886208.0,-0.002931829865792679,0.2,69.16,0.0031130728,1.1920928955078125e-07,917
280000,23687195316.8,0.00030517578125,309,-18.3926302164793,340,1.1227134466171265,0.0017,-813069.22937734,11112249344.0,-0.0013606160144263412,0.2,59.06,0.0012100476,0.0,905
290000,23037000187.2,0.0009521484375,319,-18.437627908587455,350,1.1267712116241455,0.0017,-678530.8153305,11746038784.0,-0.001943151636805851,0.2,48.03,0.0020200983,5.960464477539063e-08,907
300000,23333277369.6,0.0002197265625,329,-18.47962769418955,360,1.130595088005066,0.0017,-650473.75785797,11873718272.0,-0.0016678383133694296,0.2,46.29,0.0014001764,0.0,909
310000,22386274966.4,0.00035400390625,339,-18.51797521710396,370,1.1340159177780151,0.0017,-688979.30019696,11689411584.0,-0.0018815626221112326,0.2,49.97,0.0015873701,-1.1920928955078125e-07,912
320000,22250509857.6,0.00125732421875,354,-18.603591760993005,390,1.1422854661941528,0.0017,-767309.0004867001,12318300160.0,-0.0021854251381228096,0.2,55.78,0.0023133988,0.0,902
330000,22021229934.4,0.00037841796875,364,-18.64285390675068,400,1.1460367441177368,0.0017,-662454.69481136,11334129664.0,-0.0017515286690468201,0.2,47.59,0.0016281467,1.7881393432617188e-07,904
340000,21968715584.0,0.002880859375,375,-18.686107861995698,410,1.150459885597229,0.0017,-719960.2811377699,10972657664.0,-0.0027666320662319776,0.2,52.11,0.003032111,0.0,906
350000,22362471569.6,0.00086669921875,385,-18.73195290863514,420,1.154918909072876,0.0017,-572728.54287698,10628682752.0,-0.002466705415645265,0.2,41.19,0.002169435,-2.384185791015625e-07,908
360000,21151786425.6,0.00283203125,395,-18.77772751301527,430,1.1592726707458496,0.0017,-693254.3877475101,10477675520.0,-0.0027480278580696905,0.2,49.62,0.0030782593,1.1920928955078125e-07,909
370000,22076236800.0,0.00108642578125,410,-18.86828210353851,450,1.1680201292037964,0.0017,-694463.3343076099,11405930496.0,-0.0022046441643396976,0.2,50.55,0.0021572364,-1.1920928955078125e-07,901
380000,21841211795.2,0.0017333984375,420,-18.91231230944395,460,1.172249674797058,0.0017,-546641.77357832,11565273088.0,-0.002555861008113425,0.2,39.05,0.0025967106,5.960464477539063e-08,903
390000,21015677028.8,0.00296630859375,431,-18.95588015913963,470,1.1764851808547974,0.0017,-579265.5268936001,11269159936.0,-0.0027038456839363787,0.2,41.16,0.0028654137,0.0,904
400000,21617909720.0,0.000439453125,441,-19.000129045546053,480,1.1810189485549927,0.0017,-613873.26094684,10207296512.0,-0.002213976631355763,0.2,44.51,0.0015791492,1.1920928955078125e-07,906
410000,21381375171.2,6.103515625e-05,456,-19.098541997373104,500,1.190462589263916,0.0017,-681194.1649675299,10238974976.0,-0.0013002978559597978,0.2,49.6,0.0009958727,-2.384185791015625e-07,898
420000,21229412337.6,2.44140625e-05,466,-19.136787271499635,510,1.1941030025482178,0.0017,-713254.7116775203,10624929792.0,-0.0013317043114511762,0.2,51.69,0.0011692003,1.7881393432617188e-07,899
430000,20686087745.6,0.00042724609375,477,-19.17699612528086,520,1.1984566450119019,0.0017,-608194.6365758501,9617522688.0,-0.002037553835180006,0.2,43.87,0.00183715,0.0,900
440000,20858306564.8,0.0011474609375,487,-19.2235036700964,530,1.2033648490905762,0.0017,-738815.87256958,11833194496.0,-0.0026874634942942064,0.2,54.56,0.0021151458,-1.1920928955078125e-07,902
450000,20977445606.4,0.000634765625,498,-19.267997854948042,540,1.207391381263733,0.0017,-646903.51805652,10767711232.0,-0.0018209418456535786,0.2,47.03,0.0017779157,0.0,903
460000,20200386049.6,0.00126953125,512,-19.34819142073393,560,1.2155345678329468,0.0017,-602444.04420409,11069400064.0,-0.0022210051455658687,0.2,43.47,0.0020745543,3.5762786865234375e-07,896
470000,20061658608.0,0.000341796875,523,-19.39075041115284,570,1.2201231718063354,0.0017,-561350.80030499,9529291776.0,-0.0020133632053330073,0.2,41.57,0.001621428,0.0,898
480000,19958283448.8,0.00037841796875,533,-19.434948006272315,580,1.2245122194290161,0.0017,-688619.88340466,9130494976.0,-0.0018408299235488812,0.2,50.9,0.0015061118,-1.1920928955078125e-07,899
490000,20146370148.8,0.00084228515625,544,-19.47928770035505,590,1.2291003465652466,0.0017,-598712.8754421,10379278336.0,-0.002053161236108281,0.2,43.75,0.0020592324,1.7881393432617188e-07,900
500000,19993240203.2,0.00062255859375,559,-19.568861396610735,610,1.2383912801742554,0.0017,-637272.6942308199,10244643840.0,-0.0018307780443137744,0.2,46.64,0.001603655,-1.1920928955078125e-07,894
510000,19218342201.6,0.00142822265625,569,-19.617072480916978,620,1.2436314821243286,0.0017,-519281.4338659799,9689623552.0,-0.0025815050763412727,0.2,37.41,0.0021849729,0.0,895
520000,19173959349.6,0.00010986328125,579,-19.66718040406704,630,1.2487674951553345,0.0017,-609089.4981152001,9288793088.0,-0.001478417647376773,0.2,44.28,0.0010451647,0.0,897
