train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance
0.0017,14810452992.0,-0.0070970506107187244,27105651772.8,1064,9,10000,0.2,0.0065374235,-395723.98489309003,-17.047319103777408,10,22.77,0.04083251953125,1.0031514167785645,1.0728836059570312e-06
0.0017,13710714880.0,-0.004464599855236884,25840163011.2,1067,18,20000,0.2,0.0055622184,-485125.76083152,-17.086461290717125,20,28.13,0.02200927734375,1.006635069847107,-1.1920928955078125e-07
0.0017,14571436032.0,-0.0027642069680950954,27792748934.4,1066,28,30000,0.2,0.0046201684,-410646.67567421007,-17.12345771342516,30,23.42,0.011474609375,1.0093926191329956,5.960464477539063e-08
0.0017,13070626816.0,-0.002282147495679965,26690780732.8,1064,37,40000,0.2,0.003827619,-378439.9159182199,-17.16078604310751,40,21.49,0.00726318359375,1.0129008293151855,1.1920928955078125e-07
0.0017,11896582144.0,-0.0015388120693387464,26474570361.6,969,51,50000,0.2,0.0031940741,-332071.22860326,-17.243288525938986,60,18.36,0.0035888671875,1.019877314567566,-1.1920928955078125e-07
0.0017,13300250624.0,-0.0029395876416401733,25000875708.8,980,61,60000,0.2,0.0044857953,-437696.77525883,-17.282863691449165,70,25.8,0.0122802734375,1.023107886314392,1.1920928955078125e-07
0.0017,12992028672.0,-0.002210217460196873,26825137291.2,988,70,70000,0.2,0.0035272676,-419899.47674525,-17.324963669478894,80,23.63,0.0046142578125,1.0270856618881226,0.0
0.0017,14040480768.0,-0.001564204375972622,26144704929.6,994,80,80000,0.2,0.0030140723,-427811.7039505799,-17.36717416346073,90,25.47,0.00294189453125,1.0303764343261719,0.0
0.0017,12565870592.0,-0.001342628205566143,25966777272.0,999,90,90000,0.2,0.002381654,-348396.17698397004,-17.409776324033736,100,19.91,0.0018798828125,1.0343917608261108,0.0
0.0017,12545623040.0,-0.003190313212144247,24522084264.0,958,104,100000,0.2,0.004721746,-436682.84625755996,-17.497504845261574,120,26.15,0.013134765625,1.041763186454773,0.0
0.0017,13251969024.0,-0.002071580886513402,27218794475.2,964,114,110000,0.2,0.0030776584,-378772.9529001901,-17.54196019768715,130,22.08,0.00347900390625,1.0458475351333618,0.0
0.0017,13238069248.0,-0.002652517961087142,25574960564.8,969,123,120000,0.2,0.004434996,-377310.61806444,-17.58485976457596,140,21.57,0.00889892578125,1.0492700338363647,0.0
0.0017,13553821696.0,-0.0013116958600221551,25207724744.0,973,133,130000,0.2,0.0027487474,-357828.1047473499,-17.62150557041168,150,20.67,0.0020751953125,1.0522958040237427,-1.1920928955078125e-07
0.0017,15731560448.0,-0.002835171499282296,26690056408.0,946,147,140000,0.2,0.004088469,-423326.94283034996,-17.705147981643677,170,24.56,0.0084228515625,1.0600359439849854,0.0
0.0017,11478351872.0,-0.0017915335496581975,24344470584.0,952,157,150000,0.2,0.0028040647,-339647.34723064996,-17.753677307069303,180,18.87,0.00198974609375,1.0648131370544434,0.0
0.0017,13182332928.0,-0.0016235921166298795,25096160686.4,957,167,160000,0.2,0.0030654785,-400899.48206396995,-17.799260546267032,190,23.74,0.00281982421875,1.0681058168411255,-1.1920928955078125e-07
0.0017,12163934208.0,-0.001743515815542196,24239319561.6,961,176,170000,0.2,0.002362118,-345034.7029761501,-17.841604678332807,200,19.16,0.00179443359375,1.0723822116851807,1.1920928955078125e-07
0.0017,12329828352.0,-0.0037539021239354044,25670363960.0,965,186,180000,0.2,0.0046576126,-386178.62027881993,-17.888833828270435,210,22.7,0.0123291015625,1.0764224529266357,0.0
0.0017,13047200768.0,-0.0012300170367780083,25502559676.8,947,200,190000,0.2,0.002048541,-413105.89162613,-17.976484313607216,230,23.91,0.00084228515625,1.083956003189087,0.0
0.0017,12725577728.0,-0.002014382715788088,24872825392.0,952,209,200000,0.2,0.0030931695,-329757.85878827004,-18.016323325037956,240,18.02,0.00347900390625,1.087923288345337,0.0
0.0017,13165896704.0,-0.0021826419841090685,24446946049.6,956,219,210000,0.2,0.0030616443,-366748.64180682006,-18.062919625639914,250,21.15,0.0029052734375,1.092381238937378,-2.384185791015625e-07
0.0017,12008840192.0,-0.0023731988470899524,25331884236.8,960,229,220000,0.2,0.0036221398,-402186.15422632993,-18.105439418554305,260,24.39,0.00498046875,1.0956484079360962,0.0
0.0017,11042089984.0,-0.0017619794542042655,24942520915.2,945,243,230000,0.2,0.0022551804,-373191.20514195005,-18.187788867950438,280,21.33,0.0012939453125,1.1038432121276855,1.1920928955078125e-07
0.0017,11480387584.0,-0.001795957346985233,22585592756.8,948,253,240000,0.2,0.0029458813,-338604.85388851,-18.23244771361351,290,19.15,0.002978515625,1.1074947118759155,0.0
0.0017,11087160320.0,-0.0026709542022217646,23192086500.8,951,262,250000,0.2,0.0036541524,-356817.63641459006,-18.274105717241763,300,21.05,0.0056884765625,1.1115435361862183,-1.1920928955078125e-07
0.0017,10502047744.0,-0.0012039143470246928,22976201510.4,953,272,260000,0.2,0.0017289999,-377845.74044018006,-18.317493967711926,310,22.95,0.0005859375,1.1155996322631836,1.1920928955078125e-07
0.0017,10490684416.0,-0.0012675256039074156,21800290182.4,955,282,270000,0.2,0.0023020525,-363662.71462239994,-18.361751486361026,320,21.9,0.0011474609375,1.1197689771652222,0.0
0.0017,11847199744.0,-0.0027833928372274384,22416278444.8,942,297,280000,0.2,0.0035451567,-347730.10371119005,-18.457791067659855,340,20.47,0.00657958984375,1.1291579008102417,0.0
0.0017,10380889088.0,-0.0016562210301344748,22329811145.6,944,306,290000,0.2,0.002097315,-320068.69515797,-18.508896632492544,350,18.65,0.0007568359375,1.1338329315185547,0.0
0.0017,10489539584.0,-0.0021690628258511425,21588035144.0,946,316,300000,0.2,0.002963737,-344157.96795930987,-18.558300618827342,360,20.01,0.002734375,1.138415813446045,0.0
0.0017,12013569024.0,-0.001968176130685606,22627644835.2,948,326,310000,0.2,0.002658232,-317421.96693593,-18.60325137525797,370,17.95,0.002685546875,1.1423717737197876,0.0
0.0017,10622363648.0,-0.0017821512279624584,20892819830.4,937,341,320000,0.2,0.0025692163,-252378.54855801005,-18.70191261321306,390,13.12,0.0017822265625,1.152187705039978,1.1920928955078125e-07
0.0017,11670452224.0,-0.002478311642607878,22780523904.0,939,351,330000,0.2,0.00326423,-351898.7362094,-18.751567135751248,400,20.49,0.0043212890625,1.1569939851760864,0.0
0.0017,9988623360.0,-0.0020665561209170847,21983299526.4,940,361,340000,0.2,0.003145807,-353819.67776517005,-18.79787935465574,410,20.49,0.00311279296875,1.1611124277114868,-2.384185791015625e-07
0.0017,9401122816.0,-0.002740657080448727,20996082919.2,942,371,350000,0.2,0.0033979209,-289281.82271101995,-18.840653818845748,420,15.71,0.00526123046875,1.1652876138687134,5.960464477539063e-08
0.0017,10959805440.0,-0.0018386943911536946,20563435281.6,944,381,360000,0.2,0.0026201606,-289605.88365788,-18.885389697551727,430,16.02,0.001953125,1.1698468923568726,0.0
0.0017,10352110592.0,-0.0032037506913184187,21164421167.2,935,395,370000,0.2,0.004405409,-278425.43611350004,-18.974383412301542,450,15.8,0.00928955078125,1.1781960725784302,0.0
0.0017,10326001664.0,-0.0025248486481359578,20383676671.2,937,405,380000,0.2,0.0033411994,-281567.13916195,-19.019490629434586,460,15.53,0.0045654296875,1.1831587553024292,-1.1920928955078125e-07
0.0017,10972986368.0,-0.0018643333694853936,20050818372.0,939,415,390000,0.2,0.0024660325,-287358.06917803996,-19.070787580311297,470,16.58,0.002734375,1.1883152723312378,1.1920928955078125e-07
0.0017,10225266688.0,-0.0019528702432580758,21080019548.0,940,425,400000,0.2,0.0025833729,-356228.74153212004,-19.117995962500572,480,20.55,0.0021728515625,1.1925445795059204,0.0
0.0017,10854747136.0,-0.002257695062144194,20601111289.6,933,439,410000,0.2,0.0033122883,-319585.50407334,-19.21347942054272,500,19.01,0.00555419921875,1.202024221420288,5.960464477539063e-08
0.0017,11817593856.0,-0.0020954160001565468,19862727737.6,935,449,420000,0.2,0.0033465144,-293912.01965423,-19.25695876032114,510,16.56,0.0060302734375,1.206555962562561,0.0
0.0017,9290771456.0,-0.0019430975241448323,18845612508.8,937,458,430000,0.2,0.0025676945,-316528.44379542995,-19.30885678231716,520,18.07,0.00279541015625,1.2125053405761719,1.7881393432617188e-07
0.0017,11928508416.0,-0.00414198501403007,19978552720.0,938,468,440000,0.2,0.0047571305,-257533.51519664994,-19.362392178177835,530,13.42,0.01761474609375,1.2172378301620483,0.0
0.0017,9647135744.0,-0.0021883267490920844,19733831654.4,940,478,450000,0.2,0.0031535896,-277200.89397224,-19.407932463288308,540,15.37,0.0054443359375,1.2218044996261597,-2.384185791015625e-07
0.0017,12047474688.0,-0.0016126844642712968,19601414471.2,932,493,460000,0.2,0.0027390528,-261146.99041566002,-19.500868198275565,560,14.33,0.00389404296875,1.2309859991073608,0.0
0.0017,9777179648.0,-0.0014246681964323216,18450725315.2,933,503,470000,0.2,0.0018886725,-293003.09143133,-19.543130011856555,570,16.55,0.00078125,1.2357420921325684,0.0
0.0017,9918949376.0,-0.001527005976640794,18615241865.6,934,513,480000,0.2,0.0021174832,-262905.14293694997,-19.589976587891577,580,14.14,0.00194091796875,1.2406641244888306,0.0
0.0017,9741677568.0,-0.0018008414535870543,19058122420.0,936,523,490000,0.2,0.0022355984,-275273.65883896995,-19.640945135056974,590,15.54,0.00162353515625,1.2462421655654907,0.0
0.0017,9353346048.0,-0.003098790922558692,19158194109.6,929,537,500000,0.2,0.0038296701,-314555.76227255,-19.744411325454713,610,18.44,0.00850830078125,1.2567675113677979,0.0
