train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/approx_kl,train/clip_range,train/policy_gradient_loss,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,time/fps,train/n_updates
3.7550926208496094e-06,1.0086904764175415,1776796032.0,0.0017,0.04490966796875,3296047960.4,96.14432989690722,10000,0.0063540987,0.2,-0.006977706253383076,11,-407291.90732434014,-17.084206099808217,908,10
1.1920928955078125e-07,1.018041729927063,1667392512.0,0.0017,0.01845703125,3469838734.4,101.21,20000,0.004647495,0.2,-0.004802439766717725,23,-428306.4048018599,-17.19063635468483,867,20
0.0,1.0257374048233032,1467411968.0,0.0017,0.01405029296875,3078564410.8,81.3,30000,0.003944361,0.2,-0.003150044015274034,34,-334975.45502972,-17.28944764584303,859,30
-1.1920928955078125e-07,1.035270094871521,1561305984.0,0.0017,0.0205078125,3227353088.5,94.15,40000,0.004896818,0.2,-0.004680303575332801,47,-381271.56341272994,-17.391727404296397,848,40
2.384185791015625e-07,1.0543025732040405,1657892608.0,0.0017,0.02398681640625,2946116673.8,89.32,50000,0.0051066303,0.2,-0.004746822874585633,62,-354973.39817609004,-17.611682936549187,802,60
0.0,1.0643913745880127,1373310336.0,0.0017,0.033642578125,2909230379.9,84.13,60000,0.0056633083,0.2,-0.005576999634467938,71,-323707.47672624,-17.723056571185587,837,70
0.0,1.073604941368103,1580271744.0,0.0017,0.01651611328125,2790728079.9,83.34,70000,0.0043307776,0.2,-0.003531299536462029,80,-328651.12687179,-17.830814832448958,864,80
0.0,1.0833815336227417,1576768896.0,0.0017,0.0348388671875,2809702045.2,77.16,80000,0.0057397615,0.2,-0.00528787643652322,90,-304628.14642182994,-17.93678422868252,886,90
0.0,1.0930620431900024,1445438976.0,0.0017,0.021484375,3024510962.2,73.55,90000,0.004916488,0.2,-0.003672202108646161,99,-286788.39606304,-18.045010124146938,905,100
0.0,1.1160953044891357,1261281792.0,0.0017,0.04072265625,2693706224.1,67.74,100000,0.0064130034,0.2,-0.006312697755492991,112,-268063.67810783,-18.288282307982445,885,120
1.1920928955078125e-07,1.1267024278640747,1030393728.0,0.0017,0.028466796875,2663690296.4,70.33,110000,0.0053303763,0.2,-0.005016823281039251,122,-269240.44948994,-18.406933310627938,899,130
0.0,1.138022780418396,1505720576.0,0.0017,0.02752685546875,2669692004.5,74.5,120000,0.0055964603,0.2,-0.004963069545192411,131,-282989.6043733,-18.522216090559958,911,140
2.384185791015625e-07,1.1505845785140991,1185442304.0,0.0017,0.030078125,2575850841.1,73.52,130000,0.0056436416,0.2,-0.005920740533656499,140,-268628.45876372,-18.64870809018612,923,150
0.0,1.1762856245040894,1293837312.0,0.0017,0.0169677734375,2553649590.4,76.25,140000,0.004488108,0.2,-0.003630628515929857,154,-277145.00461372,-18.92313330322504,907,170
1.1920928955078125e-07,1.1897672414779663,1313113856.0,0.0017,0.0181640625,2508227597.0,65.34,150000,0.0048961877,0.2,-0.004319130087242229,163,-248893.39419884,-19.046942648291587,916,180
-1.1920928955078125e-07,1.201010823249817,1350160768.0,0.0017,0.03323974609375,2505167993.4,65.59,160000,0.005670056,0.2,-0.004996333997587499,172,-251458.00628746997,-19.171765911579133,924,190
0.0,1.2141354084014893,1304667136.0,0.0017,0.0302734375,2464117006.2,74.36,170000,0.0058058817,0.2,-0.004993498872681812,182,-272333.32431174,-19.294187979400157,932,200
1.1920928955078125e-07,1.2241994142532349,1320458368.0,0.0017,0.0280029296875,2513511459.6,72.84,180000,0.00507253,0.2,-0.00478658713727782,191,-266181.21983501996,-19.408148960769175,939,210
