time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/n_updates,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,train/std
6,10000,14.62,-2571934.0,17105240064.0,124,1465,-21.28602409362793,0.0001,2.384185791015625e-07,-406379.15563231014,1.0001639127731323
13,20000,11.77,-2631267.5,16472648704.0,249,1469,-21.292774200439453,0.0001,0.0,-335356.1842729,1.0005841255187988
20,30000,11.21,-2456550.75,13809303552.0,374,1470,-21.289928436279297,0.0001,5.960464477539063e-08,-324113.03064778,1.0003671646118164
27,40000,12.14,-2738120.5,17721546752.0,499,1468,-21.288625717163086,0.0001,5.960464477539063e-08,-344641.84420132,1.000292420387268
34,50000,11.38,-2364592.25,14710700032.0,624,1467,-21.289772033691406,0.0001,1.1920928955078125e-07,-321185.79990198,1.0003846883773804
40,60000,10.82,-2344598.5,16051434496.0,749,1465,-21.29179573059082,0.0001,-1.1920928955078125e-07,-311906.42545381,1.0005078315734863
47,70000,9.01,-2339429.5,13427473408.0,874,1463,-21.293079376220703,0.0001,-1.1920928955078125e-07,-263167.50732689,1.0006086826324463
54,80000,9.69,-2253744.5,13642762240.0,999,1460,-21.297523498535156,0.0001,0.0,-273759.20288541,1.0008822679519653
61,90000,9.08,-2105963.25,11118416896.0,1124,1458,-21.297935485839844,0.0001,0.0,-265031.34382793005,1.0009183883666992
68,100000,9.0,-2491300.5,14834948096.0,1249,1456,-21.29499626159668,0.0001,-1.1920928955078125e-07,-261493.83061526,1.0007131099700928
75,110000,10.25,-2439266.0,16143826944.0,1374,1454,-21.289173126220703,0.0001,-1.1920928955078125e-07,-281358.24571021,1.0003721714019775
82,120000,9.74,-2088017.0,11198670848.0,1499,1452,-21.28662109375,0.0001,-1.1920928955078125e-07,-283293.63330596,1.0001767873764038
89,130000,8.79,-2620354.5,17342314496.0,1624,1450,-21.28217887878418,0.0001,0.0,-252343.31597350002,0.9998890161514282
96,140000,10.32,-2393376.25,16388934656.0,1749,1448,-21.275440216064453,0.0001,-1.1920928955078125e-07,-287080.11401346,0.9994550347328186
103,150000,7.85,-2352160.25,13220554752.0,1874,1446,-21.27768325805664,0.0001,-1.1920928955078125e-07,-231885.48689975002,0.9995635747909546
110,160000,7.87,-2250922.0,13226814464.0,1999,1444,-21.272300720214844,0.0001,0.0,-226806.60756730006,0.9992046356201172
117,170000,10.99,-2299700.75,14480290816.0,2124,1442,-21.271560668945312,0.0001,0.0,-292550.53306177,0.9991512298583984
124,180000,7.84,-2169416.75,12855269376.0,2249,1440,-21.264650344848633,0.0001,-1.1920928955078125e-07,-216971.25138268995,0.9987166523933411
