train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,time/time_elapsed,train/learning_rate,train/n_updates,time/total_timesteps,train/policy_loss,train/std,time/fps
2.5033950805664062e-06,24.04,-452154.71691414,-21.28060531616211,5761710080.0,6,0.0001,124,10000,-1489255.375,0.9998094439506531,1544
1.1324882507324219e-06,21.82,-415428.13598762,-21.28531265258789,12113072128.0,12,0.0001,249,20000,-2183505.5,1.0000994205474854,1558
-5.960464477539062e-07,22.45,-419735.71852771007,-21.28315544128418,7912925696.0,19,0.0001,374,30000,-1784937.75,0.9999091625213623,1560
-4.76837158203125e-07,21.39,-396104.90143376996,-21.28427505493164,8937832448.0,25,0.0001,499,40000,-1893969.625,1.0000039339065552,1554
5.960464477539062e-07,20.88,-386215.29413497,-21.28331184387207,6874390528.0,32,0.0001,624,50000,-1470079.375,0.9999352693557739,1556
1.7881393432617188e-07,21.2,-385880.42429863,-21.280406951904297,8528690176.0,38,0.0001,749,60000,-1861562.75,0.9997485280036926,1556
2.980232238769531e-07,19.22,-354045.73052975006,-21.279953002929688,9440929792.0,45,0.0001,874,70000,-1931247.625,0.9997272491455078,1549
1.7881393432617188e-07,18.98,-347009.4680981399,-21.28232192993164,6871489536.0,51,0.0001,999,80000,-1659217.0,0.9998825192451477,1546
1.1920928955078125e-07,19.46,-356795.89731226995,-21.28409194946289,7557731840.0,58,0.0001,1124,90000,-1766353.75,1.0000098943710327,1545
1.7881393432617188e-07,17.64,-324523.9621779,-21.284290313720703,10849673216.0,64,0.0001,1249,100000,-2096956.75,0.9999889135360718,1545
1.1920928955078125e-07,17.24,-315673.94042605,-21.278392791748047,7990550528.0,71,0.0001,1374,110000,-1734779.625,0.9996534585952759,1543
0.0,16.06,-298907.37524729996,-21.273487091064453,7192492544.0,77,0.0001,1499,120000,-1528453.25,0.9993188977241516,1543
0.0,19.9,-369841.68146144005,-21.269163131713867,7346099712.0,84,0.0001,1624,130000,-1722833.0,0.9990261197090149,1545
0.0,20.0,-361017.6995166101,-21.261415481567383,7709889536.0,90,0.0001,1749,140000,-1729768.625,0.9985285997390747,1546
0.0,18.19,-334899.78415246995,-21.263011932373047,10570259456.0,96,0.0001,1874,150000,-2100344.5,0.9985703825950623,1547
0.0,17.77,-327155.30671676004,-21.259044647216797,8169309184.0,103,0.0001,1999,160000,-1828085.75,0.9983150959014893,1547
0.0,16.19,-295087.95340405003,-21.257631301879883,6957001216.0,109,0.0001,2124,170000,-1570794.875,0.9982279539108276,1547
0.0,16.94,-312083.27530658996,-21.251575469970703,9135802368.0,116,0.0001,2249,180000,-1851942.25,0.9978575110435486,1547
0.0,18.86,-344982.00732077,-21.258529663085938,9201069056.0,122,0.0001,2374,190000,-1964998.625,0.9983214139938354,1547
-1.1920928955078125e-07,16.46,-301193.75611067994,-21.261390686035156,8726161408.0,129,0.0001,2499,200000,-1891683.0,0.9984757900238037,1546
5.960464477539063e-08,16.6,-303472.60594738997,-21.26130485534668,9463219200.0,135,0.0001,2624,210000,-1965363.25,0.9985061883926392,1544
0.0,18.46,-332757.35944395,-21.26229476928711,7867992576.0,142,0.0001,2749,220000,-1737772.75,0.9985895156860352,1541
0.0,17.65,-323391.61371649,-21.263301849365234,7216665600.0,149,0.0001,2874,230000,-1705073.625,0.9986426830291748,1538
0.0,17.5,-316025.83903987997,-21.266700744628906,8380855296.0,156,0.0001,2999,240000,-1811815.25,0.9988585114479065,1536
0.0,15.79,-292680.50682875,-21.25990867614746,8726521856.0,162,0.0001,3124,250000,-1862007.0,0.9984255433082581,1535
-1.1920928955078125e-07,14.83,-277224.18154158,-21.262887954711914,7951584256.0,169,0.0001,3249,260000,-1799421.0,0.9985782504081726,1535
0.0,16.57,-299606.05664563,-21.266895294189453,6962050560.0,175,0.0001,3374,270000,-1626695.625,0.998889148235321,1534
0.0,16.37,-300358.65654895,-21.26535415649414,8553522688.0,182,0.0001,3499,280000,-1822616.75,0.9987764954566956,1534
0.0,14.85,-269262.20640717004,-21.264514923095703,7228978176.0,189,0.0001,3624,290000,-1693136.0,0.998702347278595,1533
0.0,16.04,-298205.42085081997,-21.26577377319336,6528549888.0,195,0.0001,3749,300000,-1580449.875,0.9988351464271545,1533
0.0,20.4,-363105.04576571,-21.270322799682617,10273805312.0,202,0.0001,3874,310000,-2062411.625,0.9990587830543518,1533
0.0,17.7,-314861.95346575003,-21.268199920654297,7897355264.0,208,0.0001,3999,320000,-1752906.375,0.9989513158798218,1532
0.0,17.42,-314597.77042605996,-21.265954971313477,9319316480.0,215,0.0001,4124,330000,-1897415.75,0.9988158941268921,1532
0.0,18.77,-332550.81805712,-21.26230812072754,7599196672.0,221,0.0001,4249,340000,-1735467.25,0.9985788464546204,1532
1.1920928955078125e-07,17.93,-319764.20395527,-21.259939193725586,7440991744.0,228,0.0001,4374,350000,-1650177.75,0.998422384262085,1531
1.7881393432617188e-07,16.11,-285671.82884127996,-21.256277084350586,7202096640.0,235,0.0001,4499,360000,-1742247.0,0.9981353282928467,1531
0.0,16.03,-288210.29628419003,-21.254812240600586,8233896960.0,241,0.0001,4624,370000,-1758287.25,0.9981433749198914,1530
-1.1920928955078125e-07,14.86,-273322.28153955995,-21.250680923461914,8502342656.0,248,0.0001,4749,380000,-1850760.0,0.9978057742118835,1530
0.0,15.09,-277151.98294117,-21.245309829711914,6540492800.0,254,0.0001,4874,390000,-1565910.125,0.9974573850631714,1530
-1.1920928955078125e-07,16.25,-292158.96563007,-21.242429733276367,8622368768.0,261,0.0001,4999,400000,-1800223.0,0.9972738027572632,1529
0.0,14.6,-267516.59753684,-21.248157501220703,6434350080.0,268,0.0001,5124,410000,-1557849.5,0.9976825714111328,1529
0.0,14.46,-260962.73655290005,-21.25413703918457,5545650688.0,274,0.0001,5249,420000,-1343937.0,0.9980543255805969,1528
-1.1920928955078125e-07,15.53,-279757.37977319,-21.25377082824707,8500973568.0,281,0.0001,5374,430000,-1900874.375,0.9979886412620544,1528
0.0,15.57,-284238.8593081,-21.25071907043457,7849191936.0,288,0.0001,5499,440000,-1763790.75,0.9978677034378052,1527
0.0,16.89,-307492.72133929,-21.24738883972168,8956413952.0,294,0.0001,5624,450000,-1980902.0,0.9975465536117554,1527
-1.1920928955078125e-07,16.27,-289957.15662721,-21.24312973022461,7962451968.0,301,0.0001,5749,460000,-1784851.25,0.9973147511482239,1526
0.0,15.75,-285204.62776485,-21.238351821899414,10085967872.0,307,0.0001,5874,470000,-1985462.375,0.996959388256073,1526
5.960464477539063e-08,14.6,-264528.53207973996,-21.243885040283203,7864658944.0,314,0.0001,5999,480000,-1786737.625,0.9973602890968323,1525
0.0,15.22,-272570.66020464996,-21.250741958618164,7279732224.0,321,0.0001,6124,490000,-1742025.375,0.9977625608444214,1525
0.0,15.92,-288184.40573928005,-21.253379821777344,7305089024.0,327,0.0001,6249,500000,-1739713.25,0.9980056881904602,1524
5.960464477539063e-08,13.79,-257486.54743383,-21.253786087036133,9822372864.0,334,0.0001,6374,510000,-2001976.0,0.9980201721191406,1524
-1.1920928955078125e-07,13.11,-241649.77029599005,-21.26225471496582,8249496576.0,341,0.0001,6499,520000,-1793213.625,0.9985827803611755,1523
-2.384185791015625e-07,13.74,-251037.01880983007,-21.261680603027344,12250214400.0,348,0.0001,6624,530000,-2318489.5,0.9985021948814392,1522
0.0,16.33,-293344.1135871,-21.259275436401367,9346840576.0,354,0.0001,6749,540000,-1884352.625,0.998434841632843,1522
1.1920928955078125e-07,16.54,-296978.40255027,-21.26531982421875,6435398144.0,361,0.0001,6874,550000,-1418793.75,0.9987837672233582,1522
5.960464477539063e-08,12.98,-249377.00596675999,-21.25880241394043,9685288960.0,367,0.0001,6999,560000,-1840438.625,0.9984260201454163,1522
5.960464477539063e-08,12.89,-247192.91896240006,-21.267393112182617,6985739264.0,374,0.0001,7124,570000,-1660170.0,0.998951256275177,1522
-1.1920928955078125e-07,13.91,-257475.50121055,-21.265134811401367,6985554944.0,381,0.0001,7249,580000,-1612408.75,0.9987916350364685,1521
0.0,13.1,-237625.50938203998,-21.25998306274414,6933934080.0,388,0.0001,7374,590000,-1498263.875,0.9984725713729858,1520
0.0,12.98,-243400.98519829006,-21.258485794067383,7449328128.0,394,0.0001,7499,600000,-1798447.25,0.9983149170875549,1519
0.0,13.5,-247573.72329860996,-21.252002716064453,7648947200.0,401,0.0001,7624,610000,-1690964.0,0.9979462027549744,1517
0.0,12.53,-233855.36350555994,-21.250289916992188,9291687936.0,408,0.0001,7749,620000,-1920805.75,0.9978072047233582,1516
0.0,13.87,-249610.00557318996,-21.251964569091797,6009509376.0,415,0.0001,7874,630000,-1557883.125,0.997927725315094,1514
0.0,16.08,-278309.65525082,-21.252025604248047,8192704512.0,422,0.0001,7999,640000,-1799110.0,0.9979358315467834,1514
5.960464477539063e-08,12.88,-240143.78526912993,-21.25107192993164,6791336960.0,429,0.0001,8124,650000,-1649068.0,0.9978397488594055,1514
0.0,15.4,-280614.28871673,-21.251144409179688,8916898816.0,436,0.0001,8249,660000,-1948028.25,0.9978542327880859,1513
0.0,13.1,-241971.83017515004,-21.248899459838867,8367244800.0,442,0.0001,8374,670000,-1819150.375,0.997729480266571,1513
0.0,14.68,-262492.04981349,-21.250877380371094,9085447168.0,449,0.0001,8499,680000,-1894912.375,0.9978331923484802,1513
0.0,15.6,-274907.16886732,-21.247291564941406,10666779648.0,456,0.0001,8624,690000,-1975176.625,0.9976543188095093,1512
0.0,12.36,-229579.11067159,-21.248350143432617,7491719168.0,462,0.0001,8749,700000,-1627614.875,0.9976422786712646,1512
0.0,12.4,-226257.11009562,-21.245351791381836,7975676416.0,469,0.0001,8874,710000,-1733672.375,0.9974873065948486,1511
0.0,12.98,-237658.57593222,-21.24527359008789,9080997888.0,476,0.0001,8999,720000,-1964818.375,0.9974488615989685,1511
0.0,15.03,-266107.78981922,-21.247987747192383,7911934976.0,483,0.0001,9124,730000,-1710544.375,0.9976900219917297,1511
0.0,14.76,-262957.37753505,-21.247421264648438,7140996608.0,489,0.0001,9249,740000,-1737857.0,0.9975959062576294,1510
1.7881393432617188e-07,15.08,-270972.78558506,-21.242544174194336,5796948992.0,496,0.0001,9374,750000,-1527082.25,0.9972666501998901,1510
-1.1920928955078125e-07,13.83,-249972.22976176997,-21.246410369873047,6095288832.0,503,0.0001,9499,760000,-1523046.875,0.9975612163543701,1510
5.960464477539063e-08,14.4,-265045.29475828,-21.25057601928711,7936813568.0,509,0.0001,9624,770000,-1790615.375,0.9978256821632385,1509
0.0,13.7,-244304.70406956002,-21.251768112182617,7160497152.0,516,0.0001,9749,780000,-1562144.0,0.9978954195976257,1509
-1.1920928955078125e-07,13.36,-240731.09922867,-21.25619125366211,7247088640.0,523,0.0001,9874,790000,-1715144.0,0.998185932636261,1509
