rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/delta_std,rollout/return_std,train/step_size,train/iterations,train/learning_rate
670.0,-33239411.138353664,5,10000,1786,,,,,
670.3333333333334,-33167848.59056467,11,20000,1789,,,,,
544.5384615384615,-26879563.023436844,17,30000,1764,,,,,
10.0,-127068.2992405,22,40000,1757,0.05,25385820.0,8.863215716914397e-12,0,0.0018
604.0,-29947450.739710398,28,50000,1759,,,,,
629.375,-31208667.565845247,34,60000,1756,,,,,
671.9166666666666,-33341740.549283415,39,70000,1754,,,,,
,,45,80000,1751,0.05,24810180.0,9.068857644012329e-12,1,0.0018
311.1,-15215284.340266999,51,90000,1748,,,,,
425.9166666666667,-20978248.576236498,57,100000,1747,,,,,
267.25,-12594352.5495895,62,110000,1747,0.05,25363904.0,8.870874521060834e-12,2,0.0018
440.2857142857143,-21518159.579501428,68,120000,1746,,,,,
509.25,-25047777.05640617,74,130000,1749,,,,,
579.3571428571429,-28544268.800523788,80,140000,1748,,,,,
1000.0,-49972396.621541,85,150000,1747,0.05,24652834.0,9.12673929487351e-12,3,0.0018
1000.0,-49824824.525081664,91,160000,1746,,,,,
1000.0,-49939221.58777083,97,170000,1745,,,,,
889.8888888888889,-44398957.843346894,103,180000,1745,,,,,
917.4166666666666,-45751697.691735506,108,190000,1745,,,,,
261.5,-12709382.698992502,114,200000,1744,0.05,22128404.0,1.0167927264048693e-11,4,0.0018
507.6666666666667,-25019105.197036833,120,210000,1744,,,,,
671.7777777777778,-33273907.778444443,126,220000,1744,,,,,
578.6428571428571,-28592060.52852336,131,230000,1743,,,,,
505.0,-24797304.420665,137,240000,1744,0.05,24737134.0,9.095636570310983e-12,5,0.0018
348.6666666666667,-16947407.695321113,143,250000,1744,,,,,
441.2142857142857,-21579900.942277145,149,260000,1744,,,,,
,,154,270000,1743,0.05,25439736.0,8.844431263754782e-12,6,0.0018
753.0,-37509768.5400835,160,280000,1743,,,,,
717.7142857142857,-35693229.09086857,166,290000,1743,,,,,
731.4545454545455,-36338051.003679,172,300000,1742,,,,,
772.7692307692307,-38416076.84651461,177,310000,1742,,,,,
23.0,-477777.609029,183,320000,1742,0.05,19943444.0,1.1281902495552387e-11,7,0.0018
413.8,-20289244.4455036,189,330000,1742,,,,,
