rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/delta_std,rollout/return_std,train/iterations,train/step_size,train/learning_rate
153.86666666666667,10000,1824,5,-7445043.9179734,,,,,
213.8,20000,1829,10,-10504773.388883801,0.05,19901148.0,0,1.1305879843437339e-11,0.0018
410.6,30000,1826,16,-20461744.3302996,,,,,
5.666666666666667,40000,1823,21,-189382.090846,0.05,24612694.0,1,9.141624089659128e-12,0.0018
336.8333333333333,50000,1823,27,-16878197.520339,,,,,
426.1666666666667,60000,1823,32,-21333604.936753582,,,,,
474.73333333333335,70000,1824,38,-23779176.8322174,,,,,
502.5,80000,1820,43,-25217325.83903625,0.05,25654682.0,2,8.77032908103148e-12,0.0018
575.0,90000,1815,49,-28823449.056775,,,,,
36.0,100000,1810,55,-1461840.0,0.05,25518494.0,3,8.817134522498549e-12,0.0018
242.44444444444446,110000,1808,60,-11979537.794574445,,,,,
399.15384615384613,120000,1809,66,-19895236.897579383,,,,,
7.5,130000,1811,71,-146885.08944399998,0.05,25252526.0,4,8.909999474338015e-12,0.0018
344.3333333333333,140000,1813,77,-17158688.263644,,,,,
469.1818181818182,150000,1815,82,-23438854.978298184,,,,,
1000.0,160000,1814,88,-50269786.269314,0.05,24766692.0,5,9.084781538160058e-12,0.0018
505.625,170000,1809,93,-25319067.99110725,,,,,
604.5,180000,1806,99,-30296555.007478304,,,,,
,190000,1802,105,,0.05,25469632.0,6,8.834049811112799e-12,0.0018
,200000,1800,111,,0.05,17009644.0,7,1.3227789523451161e-11,0.0018
512.0,210000,1800,116,-25568747.977620497,,,,,
397.3076923076923,220000,1801,122,-19830351.108420152,,,,,
24.0,230000,1802,127,-896200.0,0.05,25280396.0,8,8.900177470017034e-12,0.0018
519.6666666666666,240000,1804,133,-25950805.534377333,,,,,
428.75,250000,1805,138,-21410542.767934334,,,,,
543.0,260000,1806,143,-27170208.9318706,,,,,
1000.0,270000,1808,149,-50180440.898465,0.05,25301098.0,9,8.892894233503146e-12,0.0018
802.0,280000,1809,154,-40197819.497697994,,,,,
673.7777777777778,290000,1810,160,-33737140.537543446,,,,,
605.5333333333333,300000,1810,165,-30310978.728905663,,,,,
1000.0,310000,1811,171,-50294996.738063,0.05,24870164.0,10,9.046984515703738e-12,0.0018
801.2,320000,1813,176,-40184339.8804862,,,,,
551.0,330000,1813,181,-27596002.544389546,,,,,
539.8666666666667,340000,1814,187,-27027045.575769402,,,,,
10.0,350000,1814,192,-354231.289185,0.05,16986714.0,12,1.3245645899551128e-11,0.0018
264.0,360000,1816,198,-13038117.71375975,,,,,
464.72727272727275,370000,1816,203,-23175732.170744635,,,,,
509.35714285714283,380000,1816,209,-25436121.499691427,,,,,
406.6,390000,1816,214,-20226962.6984468,0.05,25587626.0,13,8.793312432364697e-12,0.0018
339.3333333333333,400000,1817,220,-16898870.12492033,,,,,
9.666666666666666,410000,1817,225,-331043.48688233335,0.05,25620448.0,14,8.782048005473442e-12,0.0018
,420000,1817,231,,0.05,16947470.0,15,1.3276317545329874e-11,0.0018
1000.0,430000,1818,236,-50146871.2580585,,,,,
629.125,440000,1818,241,-31481587.630874872,,,,,
703.3,450000,1818,247,-35219026.7258829,,,,,
718.3571428571429,460000,1819,252,-35987804.24967571,,,,,
516.0,470000,1819,258,-25794971.44016,0.05,23826222.0,16,9.443377503581818e-12,0.0018
341.4166666666667,480000,1819,263,-17033385.56127242,,,,,
43.5,490000,1819,269,-1925264.7196005,0.05,24869446.0,17,9.047245591586872e-12,0.0018
11.0,500000,1818,274,-400405.71591128566,0.05,16922074.0,18,1.3296242579174944e-11,0.0018
338.3333333333333,510000,1818,280,-16908363.954726998,0.05,17015720.0,19,1.3223066738787814e-11,0.0018
504.0,520000,1818,285,-25233201.176645502,,,,,
466.0,530000,1819,291,-23296639.458232082,,,,,
537.2,540000,1818,296,-26877977.920928605,,,,,
668.3333333333334,550000,1819,302,-33472362.543625664,0.05,25601854.0,20,8.78842571633287e-12,0.0018
513.875,560000,1819,307,-25658323.042987876,,,,,
512.6666666666666,570000,1819,313,-25609665.336399753,,,,,
10.333333333333334,580000,1819,318,-270420.31649100006,0.05,25224618.0,21,8.919857907851991e-12,0.0018
292.7142857142857,590000,1819,324,-14556434.140159002,,,,,
38.666666666666664,600000,1819,329,-1688816.5745833332,0.05,23906878.0,22,9.41151670486029e-12,0.0018
169.53846153846155,610000,1819,335,-8326197.293909077,,,,,
211.8,620000,1819,340,-10402886.932879,0.05,22168386.0,23,1.0149587767460666e-11,0.0018
437.0,630000,1819,346,-21771998.943656713,,,,,
510.8333333333333,640000,1819,351,-25507795.530916918,,,,,
1000.0,650000,1819,357,-50239429.532292,0.05,25309508.0,24,8.889939999423557e-12,0.0018
342.22222222222223,660000,1819,362,-17047037.21065922,,,,,
,670000,1819,368,,0.05,24894994.0,25,9.037961351543444e-12,0.0018
193.0909090909091,680000,1819,373,-9512563.715030365,,,,,
507.5,690000,1819,379,-25298912.674022,0.05,22247970.0,26,1.0113281739831947e-11,0.0018
505.3333333333333,700000,1819,384,-25259156.990519166,,,,,
506.75,710000,1819,390,-25293983.8142295,,,,,
181.83333333333334,720000,1819,395,-8923678.7075775,0.05,25496900.0,27,8.824601639700891e-12,0.0018
346.0,730000,1819,401,-17199986.87949111,,,,,
125.11111111111111,740000,1819,406,-6030994.483753555,0.05,23781758.0,28,9.461032651758572e-12,0.0018
12.0,750000,1819,412,-408840.032731,0.05,20015116.0,29,1.1241503387882101e-11,0.0018
604.8,760000,1820,417,-30308417.082603596,,,,,
559.5555555555555,770000,1820,423,-28043835.514527667,,,,,
7.0,780000,1820,428,-196502.328109,0.05,25782172.0,30,8.72696099413206e-12,0.0018
413.0,790000,1820,433,-20566432.754538797,,,,,
277.6,800000,1819,439,-13745757.136057198,,,,,
406.2,810000,1819,445,-20238703.061831802,0.05,23799384.0,31,9.454026103639102e-12,0.0018
405.6,820000,1819,450,-20238579.6611278,,,,,
473.26666666666665,830000,1819,456,-23605275.449969802,,,,,
341.6666666666667,840000,1818,461,-17021488.921467002,0.05,25752006.0,32,8.737183719575992e-12,0.0018
176.5,850000,1817,467,-8681175.513176335,0.05,16890864.0,33,1.3320810600403465e-11,0.0018
275.73333333333335,860000,1817,473,-13653759.115549732,,,,,
509.5,870000,1816,478,-25425196.187503,0.05,23855572.0,34,9.431758325739725e-12,0.0018
505.0,880000,1816,484,-25281468.66584325,,,,,
604.0,890000,1815,490,-30250730.2631966,,,,,
7.0,900000,1816,495,-211459.41648800002,0.05,25591124.0,35,8.792111136357583e-12,0.0018
306.0,910000,1816,501,-15204597.896255571,,,,,
346.2,920000,1816,506,-17227545.73906673,,,,,
151.71428571428572,930000,1815,512,-7409851.167165143,0.05,24758714.0,36,9.087709751387507e-12,0.0018
,940000,1815,517,,0.05,20104750.0,37,1.1191385491937655e-11,0.0018
510.5,950000,1816,523,-25497776.958444,,,,,
463.90909090909093,960000,1816,528,-23176191.321052816,,,,,
,970000,1816,534,,0.05,25687694.0,38,8.759057715246321e-12,0.0018
505.0,980000,1816,539,-25253348.495011248,,,,,
559.1111111111111,990000,1816,544,-28001413.344560552,,,,,
592.3333333333334,1000000,1816,550,-29636227.876319584,,,,,
