time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/step_size,train/delta_std,rollout/return_std
1808,10000,1000.0,5,-49920761.672451496,,,,,
1813,20000,677.0,11,-33465703.6275105,,,,,
1783,30000,591.75,16,-29054732.88373859,,,,,
1793,40000,607.6,22,-29898533.3377538,,,,,
1794,50000,297.14285714285717,27,-14302096.681955284,0.0018,0,9.118382264527991e-12,0.05,24675430.0
1797,60000,373.54545454545456,33,-18209774.747724816,,,,,
1798,70000,507.7857142857143,38,-24966687.216019,,,,,
1801,80000,1000.0,44,-49581810.0,0.0018,1,8.814867238915447e-12,0.05,25525058.0
1789,90000,1000.0,50,-49784690.05600925,,,,,
1791,100000,1000.0,55,-49799858.469677664,,,,,
1794,110000,695.8461538461538,61,-34565532.98827947,,,,,
1797,120000,,66,,0.0018,2,9.495082671506783e-12,0.05,23696476.0
1800,130000,311.8,72,-15087252.553816602,,,,,
1802,140000,426.5,77,-20878783.19830692,,,,,
1803,150000,,83,,0.0018,3,8.80315525336739e-12,0.05,25559018.0
1804,160000,1000.0,88,-49867326.507133,,,,,
1804,170000,835.0,94,-41569934.396674834,,,,,
1805,180000,876.25,99,-43633962.11721712,,,,,
1808,190000,771.9230769230769,105,-37561116.95103415,,,,,
1808,200000,15.333333333333334,110,-237226.37090666665,0.0018,4,1.0318995657954133e-11,0.05,21804446.0
1808,210000,353.0,116,-17197783.111946665,,,,,
1808,220000,513.3,121,-25331504.962393705,,,,,
1809,230000,594.4166666666666,127,-29410823.18042375,,,,,
1809,240000,,132,,0.0018,5,9.159981800843653e-12,0.05,24563366.0
1810,250000,340.6666666666667,138,-16636439.610387502,,,,,
1810,260000,506.0,143,-24929243.0527946,,,,,
1811,270000,588.3333333333334,149,-29060259.836409505,,,,,
1812,280000,670.6666666666666,154,-33163303.998887274,,,,,
1812,290000,510.0,160,-24880012.810524,0.0018,6,9.493300243135216e-12,0.05,23700924.0
1812,300000,373.3636363636364,165,-18272278.118313726,,,,,
1813,310000,469.7692307692308,170,-23058042.927725926,,,,,
1813,320000,258.5,176,-12496307.9546245,0.0018,7,8.822836558564084e-12,0.05,25502002.0
1813,330000,382.875,181,-18720049.26084675,,,,,
1813,340000,468.84615384615387,187,-23054584.16644754,,,,,
1813,350000,1000.0,193,-49924960.0,0.0018,8,8.869814605017012e-12,0.05,25366934.0
1813,360000,802.0,198,-39887262.173189595,,,,,
1813,370000,752.5,203,-37359218.75099237,,,,,
1813,380000,820.0,209,-40665887.61739746,,,,,
1813,390000,,215,,0.0018,9,9.502190700949598e-12,0.05,23678750.0
1814,400000,671.3333333333334,220,-33247396.369034667,,,,,
1814,410000,718.0,226,-35693881.413678,,,,,
1814,420000,704.6,231,-34962818.8476506,,,,,
1814,430000,504.0,237,-25072950.436906997,0.0018,10,8.858608291362202e-12,0.05,25399024.0
1814,440000,606.2,242,-29954521.694778204,,,,,
1814,450000,551.3636363636364,247,-27275366.89128373,,,,,
1814,460000,576.6428571428571,253,-28527398.73243972,,,,,
1814,470000,340.3333333333333,259,-16791783.840728667,0.0018,11,9.078442858578839e-12,0.05,24783986.0
1814,480000,437.42857142857144,264,-21504636.77087128,,,,,
1814,490000,552.4545454545455,270,-27330023.027715363,,,,,
1814,500000,577.7857142857143,275,-28590716.57246693,,,,,
1814,510000,1000.0,281,-50041176.692082,0.0018,12,9.085415579590528e-12,0.05,24764966.0
1814,520000,384.625,286,-18726526.4341755,,,,,
1814,530000,,292,,0.0018,13,9.081276529376847e-12,0.05,24776252.0
1814,540000,671.0,297,-33145227.722486664,,,,,
1814,550000,633.875,303,-31326853.849379003,,,,,
1814,560000,591.5,308,-29222335.44010125,,,,,
1814,570000,,314,,0.0018,14,8.883704535889159e-12,0.05,25327270.0
1814,580000,605.2,319,-29730050.56567459,,,,,
1814,590000,718.0,325,-35463252.16880028,,,,,
1814,600000,730.9090909090909,330,-36142046.62661236,,,,,
1814,610000,,336,,0.0018,15,9.1290976514391e-12,0.05,24646466.0
1814,620000,603.4,341,-29781941.7376464,,,,,
1814,630000,629.125,347,-31086206.647143625,,,,,
1814,640000,670.4166666666666,352,-33155208.142091747,,,,,
1814,650000,10.0,358,-115922.825704,0.0018,16,9.118114249750953e-12,0.05,24676154.0
1814,660000,509.6666666666667,363,-25058334.456434336,,,,,
1814,670000,632.25,369,-31199031.470226496,,,,,
1814,680000,540.8666666666667,374,-26609941.428585596,,,,,
1814,690000,141.125,380,-6586564.658593375,0.0018,17,8.901295499297301e-12,0.05,25277218.0
1814,700000,23.0,385,-482961.3300795,0.0018,18,1.1250778086946411e-11,0.05,19998616.0
1815,710000,510.8333333333333,391,-25125646.12395783,,,,,
1815,720000,509.0,396,-24958238.869900297,,,,,
1815,730000,298.42857142857144,402,-14558022.054825144,0.0018,19,9.116744685566669e-12,0.05,24679862.0
1815,740000,374.0,407,-18353320.191400822,,,,,
1815,750000,475.6666666666667,413,-23389896.371195935,,,,,
1815,760000,1000.0,418,-49873135.539556,0.0018,20,8.837984163956314e-12,0.05,25458292.0
1815,770000,1000.0,424,-49844612.91237625,,,,,
1815,780000,861.1428571428571,429,-42823471.49104629,,,,,
1815,790000,648.9285714285714,435,-32103027.21453222,,,,,
1815,800000,10.0,440,-90739.972242,0.0018,21,9.54205638115102e-12,0.05,23579822.0
1815,810000,606.8,446,-29850927.719258398,,,,,
1815,820000,631.375,451,-31062881.07398825,,,,,
1815,830000,671.75,457,-33116790.061626583,,,,,
1815,840000,671.6,462,-33154373.042110797,,,,,
1815,850000,1000.0,468,-49525133.125933,0.0018,22,9.505357438654993e-12,0.05,23670862.0
1815,860000,670.5,473,-33110639.317012165,,,,,
1815,870000,752.875,479,-37210156.73638388,,,,,
1815,880000,696.3846153846154,484,-34386636.723665625,,,,,
1815,890000,,490,,0.0018,23,9.52487394512147e-12,0.05,23622358.0
1815,900000,506.3333333333333,495,-25035689.30914734,,,,,
1815,910000,510.2,501,-25169315.8700782,,,,,
