time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/delta_std,train/iterations,train/learning_rate,rollout/return_std
1735,-33050012.187098335,10000,668.0,5,,,,,
1739,-39784946.4549502,20000,800.8,11,,,,,
1738,-43519930.928012125,30000,875.5,17,,,,,
1736,-44815831.2849191,40000,900.4,23,,,,,
1737,-42678943.892611146,50000,858.1428571428571,28,,,,,
1735,,60000,,34,1.3272844628930969e-11,0.05,0,0.0018,16951904.0
1736,-37401892.599571496,70000,756.0,40,,,,,
1737,-35569948.03801642,80000,719.1428571428571,46,,,,,
1737,-39778717.4751568,90000,803.4,51,,,,,
1737,-41471157.36808134,100000,836.1666666666666,57,,,,,
1737,,110000,,63,1.1303360157588482e-11,0.05,1,0.0018,19905584.0
1738,-49872403.228267,120000,1000.0,69,,,,,
1738,-49837683.1545074,130000,1000.0,74,,,,,
1738,-49782646.86779785,140000,1000.0,80,,,,,
1738,-49819051.3440135,150000,1000.0,86,,,,,
1738,-49783592.7447835,160000,1000.0,92,,,,,
1738,-25127770.44438,170000,506.5,97,1.3401157787640283e-11,0.05,2,0.0018,16789594.0
1738,-37513592.33580975,180000,753.25,103,,,,,
1738,-37517468.6832175,190000,754.0,109,,,,,
1737,-36392251.24236119,200000,731.6363636363636,115,,,,,
1738,-39269966.88775901,210000,789.1428571428571,120,,,,,
1738,-50076400.0,220000,1000.0,126,1.0151448258388651e-11,0.05,3,0.0018,22164324.0
1738,-49945831.709569,230000,1000.0,132,,,,,
1738,-49957565.32495334,240000,1000.0,138,,,,,
1739,-49944054.57425523,250000,1000.0,143,,,,,
1739,-49915165.0791611,260000,1000.0,149,,,,,
1739,-25665921.207461,270000,524.5,155,1.122353252003272e-11,0.05,4,0.0018,20047164.0
1739,-37735605.057709746,280000,762.25,160,,,,,
1739,-33523161.621256,290000,675.7777777777778,166,,,,,
1739,-36493996.39355491,300000,734.7272727272727,172,,,,,
1739,,310000,,178,9.587703027336136e-12,0.05,5,0.0018,23467560.0
1739,-25057856.2125045,320000,510.5,183,,,,,
1740,-35718410.760809995,330000,720.2857142857143,189,,,,,
1740,-38616434.303314775,340000,782.4444444444445,195,,,,,
1740,-38295623.01744608,350000,774.6153846153846,201,,,,,
1740,-49973611.616043,360000,1000.0,206,9.52979795770803e-12,0.05,6,0.0018,23610154.0
1740,-33301322.2017155,370000,671.0,212,,,,,
1740,-37482795.71618663,380000,753.25,218,,,,,
1740,-37491127.261463255,390000,752.8333333333334,224,,,,,
1740,-50081336.238787,400000,1000.0,229,9.070486549356271e-12,0.05,7,0.0018,24805724.0
1740,-30025856.1611766,410000,605.0,235,,,,,
1740,-37483934.321853004,420000,753.125,241,,,,,
1740,-39944062.5848373,430000,802.5,247,,,,,
1740,-36585034.73589607,440000,736.8666666666667,252,,,,,
1740,-50233903.686807,450000,1000.0,258,1.0128473580672814e-11,0.05,8,0.0018,22214600.0
1740,-40137076.030484796,460000,804.2,264,,,,,
1740,-33434467.08434611,470000,670.7777777777778,270,,,,,
1740,-145723.218809,480000,7.0,275,8.861801049919737e-12,0.05,9,0.0018,25389874.0
1740,-25049224.441454,490000,507.25,281,,,,,
1740,-31287314.081946626,500000,629.375,287,,,,,
1739,-29204469.874793004,510000,588.0833333333334,293,,,,,
1740,-50017310.824975,520000,1000.0,298,8.831887478299993e-12,0.05,10,0.0018,25475868.0
1740,-49560704.450111,530000,1000.0,304,,,,,
1740,-42528181.96910029,540000,858.1428571428571,310,,,,,
1740,-44161668.831603,550000,889.6666666666666,315,,,,,
1740,-45591807.931784175,560000,917.25,321,,,,,
1740,-46174811.16999879,570000,929.0714285714286,327,,,,,
1740,-25021374.018965,580000,507.0,333,1.814520408927045e-11,0.05,11,0.0018,12399971.0
1740,-29985019.391090196,590000,604.4,338,,,,,
1740,-37437382.18338875,600000,752.75,344,,,,,
1740,-36153698.020592,610000,730.1818181818181,350,,,,,
1740,,620000,,356,9.480833652875109e-12,0.05,12,0.0018,23732090.0
1741,-49771254.7561775,630000,1000.0,361,,,,,
1741,-49911361.9085488,640000,1000.0,367,,,,,
1741,-49879267.28002429,650000,1000.0,373,,,,,
1741,-49886763.126216695,660000,1000.0,379,,,,,
1741,-49889413.12548833,670000,1000.0,384,,,,,
1741,-49855996.89211786,680000,1000.0,390,,,,,
1741,-25225206.946056,690000,514.0,396,1.4479655252586099e-09,0.05,13,0.0018,155390.4375
1741,-33176674.547445,700000,674.1666666666666,401,,,,,
1741,-33210950.577446222,710000,673.0,407,,,,,
1741,-34524451.14062015,720000,697.1538461538462,413,,,,,
1741,-36572516.58116747,730000,737.5333333333333,419,,,,,
1741,-49806759.2271425,740000,1000.0,424,1.0185966653475376e-11,0.05,14,0.0018,22089214.0
1742,-49889019.42885925,750000,1000.0,430,,,,,
1742,-38796110.05145878,760000,783.1111111111111,436,,,,,
1742,-40822792.61578364,770000,822.5454545454545,441,,,,,
1742,,780000,,447,1.0193739949371228e-11,0.05,15,0.0018,22072370.0
1742,-33286959.601766665,790000,670.6666666666666,453,,,,,
1743,-35621619.43611671,800000,716.7142857142857,458,,,,,
1743,-38804401.155732445,810000,779.6666666666666,464,,,,,
1743,-41600478.9640295,820000,834.75,470,,,,,
1743,,830000,,476,1.0180587275976372e-11,0.05,16,0.0018,22100886.0
1743,-49488317.114501506,840000,1000.0,481,,,,,
1743,-27727600.306958,850000,561.7777777777778,487,,,,,
1743,-31742637.361463908,860000,641.4545454545455,493,,,,,
1743,-33287788.409126934,870000,671.3333333333334,499,,,,,
1743,-24957340.2529365,880000,502.5,504,9.495114763891088e-12,0.05,17,0.0018,23696396.0
1743,-28567534.575246144,890000,575.0,510,,,,,
1743,-27319265.25471791,900000,550.5454545454545,516,,,,,
