rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
11.43,0.0055,18,95.84664154052734,10000,260995136.0,2474,478,548,17097.642578125,-310259.33328223,-608.98046875
18.78,0.0055,36,889.7201538085938,20000,1688425984.0,4974,718,543,313019.0625,-638786.46582755,12.46989917755127
4.35,0.0055,55,553.13671875,30000,195740336.0,7474,1991,542,219910.9375,-131440.67239161,65.06217193603516
5.17,0.0055,73,297.2183532714844,40000,212310640.0,9974,3661,546,224015.1875,-143126.48448495998,52.084861755371094
3.45,0.0055,91,86.43903350830078,50000,114755360.0,12474,6316,548,150431.65625,-121185.74962581001,30.62017250061035
3.44,0.0055,109,36.998390197753906,60000,51227776.0,14974,9405,550,111808.59375,-120964.24941352001,5.632325172424316
3.0,0.0055,127,25.665489196777344,70000,7741718.5,17474,12560,551,106220.3046875,-117387.43290690999,1.7819993495941162
19.84,0.0055,144,201.7274932861328,80000,233219328.0,19974,14567,552,132890.53125,-631163.59062138,-31.257831573486328
3.01,0.0055,162,39.006385803222656,90000,156523568.0,22474,17111,552,135257.890625,-117059.79388263001,-2.9377527236938477
3.01,0.0055,180,36.11738586425781,100000,20684336.0,24974,20359,553,118244.765625,-116767.48470767,1.7298771142959595
3.02,0.0055,198,26.625741958618164,110000,19563148.0,27474,23642,553,113772.8125,-116778.49000219002,0.45732367038726807
8.49,0.0055,216,126.51708221435547,120000,260195328.0,29974,26610,553,112004.1640625,-257299.49544,-19.804651260375977
3.14,0.0055,234,88.60726165771484,130000,314948672.0,32474,28281,554,134764.8125,-118167.88554819,9.750504493713379
3.0,0.0055,252,50.722782135009766,140000,24371912.0,34974,31529,554,122649.328125,-116956.72540156997,4.61168098449707
3.0,0.0055,270,37.90571975708008,150000,10935303.0,37474,34838,554,115759.265625,-116815.79160424,2.560126781463623
3.1,0.0055,288,35.89824676513672,160000,54922056.0,39974,37846,554,108007.6171875,-118069.48035519998,-0.0801159143447876
4.91,0.0055,306,64.00958251953125,170000,151291104.0,42474,40502,554,116623.7265625,-146560.79001716,-0.007196903228759766
3.0,0.0055,324,40.199012756347656,180000,34450592.0,44974,43675,554,115036.1796875,-116803.75425041,-3.682363986968994
3.0,0.0055,342,46.17640686035156,190000,28610856.0,47474,46768,555,110326.1875,-116722.21844329998,-1.0421168804168701
3.58,0.0055,360,48.77171325683594,200000,19579098.0,49974,49887,555,109197.6640625,-123011.28139283,1.4842491149902344
3.09,0.0055,378,23.13849449157715,210000,8355166.0,52474,53076,555,104500.109375,-117941.80860854,5.748310089111328
5.5,0.0055,396,104.13261413574219,220000,167573728.0,54974,55946,554,130213.0546875,-170555.30974682997,-159.67657470703125
3.14,0.0055,415,110.61483764648438,230000,92031536.0,57474,57521,553,136745.59375,-118451.60037853001,24.60335350036621
3.0,0.0055,434,53.29662322998047,240000,29419528.0,59974,60710,552,121992.0,-117140.19831841,2.092583417892456
3.12,0.0055,453,44.41889190673828,250000,13421278.0,62474,64036,550,117935.4375,-117896.05507285002,-9.642208099365234
3.0,0.0055,472,31.514846801757812,260000,17613968.0,64974,67356,549,102364.03125,-116615.20224752002,2.9682130813598633
5.56,0.0055,490,82.99005126953125,270000,46841984.0,67474,70516,550,101468.5390625,-184304.43810712002,-120.93519592285156
3.06,0.0055,508,223.55213928222656,280000,429515136.0,69974,73075,550,118119.828125,-117832.49630993001,16.557573318481445
