time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps
16,119,0.0055,378997664.0,117.92839813232422,145853.59375,90.3,10000,-3151566.08398853,-525.7029418945312,2474,598
33,218,0.0055,917365120.0,998.3120727539062,379365.3125,98.67,20000,-3731707.1373262005,126.61903381347656,4974,593
50,362,0.0055,161606208.0,327.3570251464844,279752.28125,64.21,30000,-992534.1379665801,88.51058959960938,7474,589
68,607,0.0055,164786112.0,109.10142517089844,211892.90625,38.04,40000,-497957.2952211001,40.59510803222656,9974,588
85,982,0.0055,82486928.0,50.679168701171875,175212.6875,21.91,50000,-306168.54785848,7.197410583496094,12474,587
102,1575,0.0055,48184516.0,29.44028091430664,138537.78125,10.92,60000,-200372.21664546,3.5218844413757324,14974,586
119,2678,0.0055,65606440.0,30.588394165039062,131757.4375,9.54,70000,-180967.36398582,-4.762284278869629,17474,585
136,4338,0.0055,22075036.0,31.23111343383789,119229.515625,5.0,80000,-128630.69326525,-2.2735257148742676,19974,584
153,5870,0.0055,2343599872.0,394.14031982421875,230138.78125,24.15,90000,-768486.3916836202,23.753612518310547,22474,584
171,6929,0.0055,174340416.0,75.13495635986328,156233.375,15.98,100000,-328117.16587831004,13.566780090332031,24974,584
188,8734,0.0055,29721944.0,52.25740051269531,128273.53125,5.0,110000,-128299.52983182,6.944518566131592,27474,583
205,10453,0.0055,34423080.0,42.32801055908203,121572.6015625,5.0,120000,-128301.41654861999,2.048473358154297,29974,583
223,12201,0.0055,18982812.0,29.199949264526367,105858.359375,5.48,130000,-134827.96866532,-0.4799079895019531,32474,582
240,13834,0.0055,8246382.5,26.975324630737305,108019.4921875,5.0,140000,-128344.56669104,3.0997447967529297,34974,582
257,15665,0.0055,33237498.0,40.50959396362305,134830.625,5.18,150000,-130422.34132597003,-221.88662719726562,37474,582
274,16303,0.0055,349557952.0,48.23466491699219,142757.96875,5.0,160000,-128109.46322134997,-3.2732064723968506,39974,582
291,17946,0.0055,31295428.0,47.44731140136719,132103.90625,8.13,170000,-167532.52126141998,-19.885622024536133,42474,582
308,19462,0.0055,23932012.0,43.70624923706055,132260.09375,5.0,180000,-130218.35628236999,4.861518859863281,44974,582
326,21396,0.0055,12146694.0,25.630260467529297,111865.359375,5.0,190000,-128187.25190348999,8.960763931274414,47474,582
343,22756,0.0055,43585732.0,95.09426879882812,90169.671875,8.94,200000,-222654.39583137003,-72.5001220703125,49974,582
360,22995,0.0055,127256016.0,479.94854736328125,178861.3125,39.22,210000,-568396.00570937,32.62700271606445,52474,582
377,24257,0.0055,42105592.0,124.0252456665039,156933.140625,5.24,220000,-131659.97280163,-51.81182861328125,54974,582
395,25812,0.0055,31655572.0,94.67408752441406,139050.65625,5.83,230000,-137723.95249585996,9.744391441345215,57474,582
412,27207,0.0055,43390488.0,166.78195190429688,136553.734375,8.14,240000,-185681.91437890998,-18.676639556884766,59974,582
429,28368,0.0055,113705296.0,52.88065719604492,122762.15625,5.0,250000,-129708.00431624,1.3457865715026855,62474,581
446,29830,0.0055,24771524.0,90.4127197265625,130141.90625,7.76,260000,-157082.78172361,30.40411376953125,64974,581
464,31203,0.0055,33614640.0,41.69160842895508,127433.296875,6.59,270000,-144124.13829176,4.116233825683594,67474,581
481,32833,0.0055,20392454.0,43.99580764770508,119466.390625,5.0,280000,-128085.41928316999,4.594161033630371,69974,581
498,33891,0.0055,61627688.0,55.71561050415039,123722.046875,5.0,290000,-128578.46448143001,18.917285919189453,72474,581
515,35784,0.0055,27587678.0,27.291662216186523,118760.65625,5.0,300000,-127921.53339576001,6.516931533813477,74974,581
532,37625,0.0055,89213176.0,124.59868621826172,131847.09375,5.38,310000,-138559.94484047,-381.7490539550781,77474,581
550,38013,0.0055,125104912.0,157.64845275878906,194523.25,6.51,320000,-149269.08388064,30.540494918823242,79974,581
567,39919,0.0055,57801464.0,39.29585266113281,126729.4609375,5.0,330000,-128391.89018165,8.244608879089355,82474,581
584,41919,0.0055,26163196.0,29.587894439697266,120845.34375,5.0,340000,-128034.89318338002,2.7951982021331787,84974,581
601,43185,0.0055,84501024.0,145.61671447753906,271172.09375,24.37,350000,-536693.43254065,-25.14432144165039,87474,581
619,43835,0.0055,135846272.0,216.70028686523438,219878.4375,5.96,360000,-146945.95227968,70.75119018554688,89974,581
636,45473,0.0055,110191296.0,42.64375686645508,182147.828125,8.19,370000,-173622.84942739003,0.2193027138710022,92474,581
653,47254,0.0055,29587270.0,36.255157470703125,159989.484375,5.0,380000,-128174.47636656997,-6.212064743041992,94974,581
670,48980,0.0055,27934832.0,40.35042953491211,131085.84375,5.0,390000,-128740.52264281001,14.475630760192871,97474,581
687,49768,0.0055,93307808.0,190.0035400390625,197071.90625,5.0,400000,-128778.64148266001,25.41459846496582,99974,581
706,51623,0.0055,23407512.0,34.81962585449219,134140.4375,5.0,410000,-128188.14559281003,1.807903528213501,102474,580
725,53623,0.0055,87710304.0,21.559289932250977,125745.265625,5.0,420000,-129140.40697308003,0.7601962685585022,104974,578
744,55355,0.0055,185675168.0,149.5203399658203,121651.453125,5.0,430000,-128452.25492174001,-32.459739685058594,107474,577
763,55394,0.0055,77782848.0,898.232421875,210448.75,105.36,440000,-3282228.4935718603,118.94548034667969,109974,576
781,55593,0.0055,142430768.0,107.3599853515625,228514.75,51.16,450000,-1177535.68053825,8.874536514282227,112474,575
800,56897,0.0055,34166608.0,43.12314224243164,191213.484375,8.13,460000,-179796.50871132,6.000983715057373,114974,574
819,58304,0.0055,29250860.0,126.68677520751953,169239.3125,5.03,470000,-128458.99207622999,22.72591781616211,117474,573
838,60175,0.0055,79967128.0,99.33063507080078,138971.71875,5.76,480000,-135803.28831704,21.41828727722168,119974,572
857,62036,0.0055,63910520.0,54.140193939208984,123532.3671875,5.59,490000,-134438.17781383,-110.15968322753906,122474,571
876,63556,0.0055,11362068.0,44.36271667480469,115603.9140625,5.02,500000,-128259.08356229,5.789224147796631,124974,570
895,64129,0.0055,32517540.0,35.62611389160156,137342.625,21.57,510000,-466234.85622925987,9.702678680419922,127474,569
913,65258,0.0055,40383628.0,30.04781723022461,136295.65625,14.26,520000,-245001.25110286998,-0.7869750261306763,129974,569
932,66615,0.0055,13559069.0,51.203285217285156,139016.1875,5.0,530000,-128063.04230656999,7.311830043792725,132474,568
951,68554,0.0055,23004078.0,27.645198822021484,125287.65625,6.01,540000,-138372.34607665997,-62.57452392578125,134974,567
969,69133,0.0055,33160588.0,99.2248764038086,146601.578125,13.08,550000,-288569.47123418003,6.563345909118652,137474,567
988,70856,0.0055,18735152.0,31.39495277404785,121296.140625,5.0,560000,-127967.93376392999,4.620769500732422,139974,566
1007,72824,0.0055,5728709.5,20.190170288085938,116911.6875,5.03,570000,-128400.20445403998,-2.4273810386657715,142474,565
1025,74745,0.0055,8676699.0,16.86345863342285,112137.7890625,5.0,580000,-129627.11101760999,-1.3923606872558594,144974,565
1044,76150,0.0055,70902640.0,56.06371307373047,129501.625,27.66,590000,-653323.56107779,31.562437057495117,147474,564
1063,76311,0.0055,49163196.0,269.10443115234375,175879.6875,37.26,600000,-801223.0617679199,38.019554138183594,149974,564
1082,77036,0.0055,143322416.0,400.06964111328125,216792.109375,27.0,610000,-626830.4343385,-12.312492370605469,152474,563
1100,77794,0.0055,49801608.0,50.19227600097656,175897.84375,5.97,620000,-137450.43008454997,16.506175994873047,154974,563
1119,79408,0.0055,34061088.0,26.092636108398438,129919.8125,6.58,630000,-143369.91707667,1.173223853111267,157474,562
1138,80631,0.0055,29946040.0,27.200782775878906,124524.3515625,5.79,640000,-134819.15621802004,5.888106346130371,159974,562
1157,82080,0.0055,35435424.0,47.54964065551758,122280.390625,7.06,650000,-156246.15418212,31.625818252563477,162474,561
1176,83605,0.0055,6709238.0,22.39250373840332,122757.484375,6.75,660000,-149209.74242502,-6.752167224884033,164974,561
1195,85018,0.0055,6908720.0,20.14885711669922,111396.3984375,5.51,670000,-132429.08129372,-2.9909937381744385,167474,560
1214,86741,0.0055,14510656.0,27.121274948120117,115039.625,11.35,680000,-210570.90118544997,14.130516052246094,169974,560
1232,88677,0.0055,3585281.5,16.182884216308594,109324.5,5.0,690000,-128217.86237131,-21.495933532714844,172474,559
1251,90209,0.0055,86732112.0,223.03443908691406,158747.34375,24.65,700000,-745781.6943487899,-0.13324248790740967,174974,559
1270,90580,0.0055,84754224.0,42.60649871826172,146920.84375,16.45,710000,-302054.3143643,-0.058190762996673584,177474,558
1289,92349,0.0055,16798164.0,36.21171569824219,134194.03125,5.0,720000,-128072.87817704,-1.2499899864196777,179974,558
1307,94022,0.0055,17430100.0,34.74476623535156,136210.890625,5.04,730000,-128648.52029303,-4.404706954956055,182474,558
1326,95308,0.0055,12717677.0,27.660263061523438,119783.4765625,5.63,740000,-134477.73179440002,0.06628477573394775,184974,557
1345,96135,0.0055,125229200.0,299.60760498046875,173379.171875,8.73,750000,-181056.01432978996,56.64727020263672,187474,557
1364,97239,0.0055,29739304.0,57.2230110168457,143404.78125,5.39,760000,-132542.125866,9.838312149047852,189974,557
1383,99063,0.0055,28140814.0,42.51869583129883,131063.0234375,5.1,770000,-129637.48677770999,9.348811149597168,192474,556
