time/episodes,train/ent_coef,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/actor_loss,time/fps,train/critic_loss
825,87.67264556884766,2474,0.0055,13.85,-370339.77928886,39,-252.7083740234375,10000,38196.234375,255,200899200.0
2555,219.52102661132812,4974,0.0055,5.02,23140.8,79,-47.31231689453125,20000,44126.8671875,252,142680912.0
4527,310.47442626953125,7474,0.0055,5.01,32724.1,119,4.931033134460449,30000,10511.8017578125,251,140990016.0
6524,248.4768829345703,9974,0.0055,5.01,32718.7,159,16.701087951660156,40000,-6680.7255859375,251,61344516.0
8519,119.77202606201172,12474,0.0055,5.01,32316.9,199,17.163681030273438,50000,-43577.40625,250,11361665.0
10407,80.9222183227539,14974,0.0055,6.16,-25278.25600714,239,-35.048736572265625,60000,-37870.85546875,250,135943760.0
12418,57.95446014404297,17474,0.0055,5.0,33029.1,280,-1.5746819972991943,70000,-42317.75390625,249,27444088.0
14418,50.32777786254883,19974,0.0055,5.0,33029.1,320,2.8886356353759766,80000,-47946.984375,249,10529801.0
16369,82.73748779296875,22474,0.0055,5.0,33030.0,360,6.567919731140137,90000,-38486.890625,249,22061188.0
18273,60.31462478637695,24974,0.0055,5.0,33026.4,401,11.104283332824707,100000,-42774.45703125,249,5936112.0
20271,36.54585266113281,27474,0.0055,5.0,33020.1,441,4.938253402709961,110000,-48452.46875,249,5400705.0
22254,54.27468490600586,29974,0.0055,5.0,30422.82819989,482,2.998852014541626,120000,-40609.8203125,248,7245347.0
24252,28.21756362915039,32474,0.0055,5.0,32825.5,522,2.1832165718078613,130000,-48494.1328125,248,627534.375
25697,637.8408813476562,34974,0.0055,5.88,-38945.74074792,562,22.70708465576172,140000,-10410.142578125,249,298539296.0
27566,252.7680206298828,37474,0.0055,5.07,31109.4,602,8.094579696655273,150000,-23156.92578125,248,78686760.0
29542,237.0688018798828,39974,0.0055,5.07,31511.2,642,5.815007209777832,160000,-29231.626953125,248,43040544.0
31375,368.8529357910156,42474,0.0055,5.09,31206.6,683,17.88225555419922,170000,-17878.90234375,248,72718072.0
33223,398.39593505859375,44974,0.0055,10.14,-189120.54461232998,723,-54.39446258544922,180000,-10279.5859375,248,278158112.0
