train/n_updates,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,time/episodes,train/learning_rate,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss
2474,4.61,10000,-186131.54458601,298,101.31989288330078,504,0.0055,33,277568256.0,80061.8828125,-233.88986206054688
4974,3.3,20000,-146003.15484705,293,214.51722717285156,3193,0.0055,68,146179936.0,115976.78125,-2.96232271194458
7474,3.0,30000,-137379.59919177997,290,166.4459686279297,6465,0.0055,103,36851096.0,121492.078125,28.744922637939453
9974,3.0,40000,-136934.33241094998,289,91.09346771240234,9729,0.0055,138,26798228.0,106383.171875,22.438812255859375
12474,3.0,50000,-136577.91173708,288,33.23723220825195,13005,0.0055,173,3167062.5,123839.59375,20.026691436767578
14974,9.0,60000,-387413.13075793,288,54.66447448730469,15678,0.0055,208,145926048.0,156871.609375,-17.922809600830078
17474,3.0,70000,-137006.48691947001,287,37.02675247192383,18838,0.0055,243,15090950.0,120332.71875,10.24007797241211
19974,3.0,80000,-136151.41739518,287,28.19793128967285,22163,0.0055,278,7662598.0,110326.6796875,4.912093162536621
22474,3.0,90000,-136131.45027176,287,19.049163818359375,25497,0.0055,313,8400290.0,113293.6640625,9.034205436706543
24974,3.0,100000,-137979.97009617,287,9.315193176269531,28823,0.0055,348,314589.8125,111746.9140625,-8.736550331115723
27474,3.0,110000,-136301.70167312,287,44.84269332885742,31195,0.0055,382,32665370.0,106376.09375,-8.528944969177246
29974,3.0,120000,-136258.94032157,287,26.10320281982422,34515,0.0055,416,14834068.0,133061.375,-7.69808292388916
32474,3.0,130000,-136256.98568143998,286,59.25629425048828,37513,0.0055,453,21802348.0,123530.0,15.971052169799805
34974,3.19,140000,-140126.10900176002,285,83.46926879882812,40726,0.0055,489,21038810.0,137831.53125,-61.012847900390625
37474,3.1,150000,-138841.49675549997,285,41.36013412475586,43964,0.0055,525,24243622.0,128834.203125,15.096048355102539
39974,3.0,160000,-136162.59569598,285,31.724468231201172,47246,0.0055,559,8562538.0,117437.203125,20.750221252441406
42474,3.0,170000,-136128.33619706996,286,17.694671630859375,50576,0.0055,593,4735629.0,112562.8671875,6.305314064025879
44974,3.0,180000,-136927.00746607003,286,38.9605712890625,53622,0.0055,627,33648712.0,88201.234375,23.556549072265625
47474,3.0,190000,-136122.31643863,286,17.860702514648438,56907,0.0055,662,10065516.0,121177.65625,3.840578556060791
49974,14.72,200000,-675368.03431056,287,559.4269409179688,59355,0.0055,696,287864896.0,186301.96875,19.472301483154297
52474,3.0,210000,-136908.04563343996,287,59.02009582519531,62612,0.0055,731,89767216.0,149746.09375,3.7906503677368164
54974,6.59,220000,-276061.35917321,287,81.31536102294922,65662,0.0055,765,436723584.0,123110.1640625,-12.497770309448242
57474,3.0,230000,-136555.32121288002,287,72.22725677490234,68616,0.0055,799,78930528.0,132300.296875,-5.558587074279785
59974,3.0,240000,-136227.91542371002,287,31.678062438964844,71864,0.0055,833,17447972.0,146925.75,1.4813103675842285
62474,14.16,250000,-667208.20448248,287,232.18014526367188,74299,0.0055,868,677528320.0,247358.46875,-12.542479515075684
64974,3.13,260000,-139312.54993228,287,40.16317367553711,77410,0.0055,904,259389056.0,86536.140625,-73.72734069824219
67474,3.0,270000,-137249.12858333002,287,98.31993103027344,80055,0.0055,939,128478704.0,185185.03125,9.038681983947754
69974,3.0,280000,-137201.70023216002,287,183.43637084960938,83292,0.0055,974,79434944.0,159715.28125,24.838054656982422
72474,3.0,290000,-136212.74772198,287,19.076663970947266,86626,0.0055,1008,16086862.0,96857.875,-15.546669006347656
74974,7.96,300000,-363717.57378571003,287,136.67591857910156,89577,0.0055,1042,165085104.0,112005.1875,-108.392578125
77474,3.11,310000,-138477.88999989,288,64.72298431396484,91824,0.0055,1075,31860412.0,149664.625,-71.75743865966797
79974,3.02,320000,-137340.7773115,288,761.513427734375,94608,0.0055,1109,768007040.0,241550.78125,15.303178787231445
82474,3.0,330000,-137748.16264802002,288,89.17349243164062,96669,0.0055,1143,100907888.0,202180.9375,7.660234451293945
84974,3.0,340000,-136768.94087335,288,56.9921989440918,99848,0.0055,1177,103244960.0,147966.59375,8.566265106201172
87474,3.0,350000,-136721.76555259002,288,44.030330657958984,103049,0.0055,1211,88748320.0,166246.65625,2.290601968765259
89974,3.0,360000,-136952.18305204003,288,23.8990535736084,106362,0.0055,1245,309543360.0,95533.3359375,1.8352317810058594
92474,3.03,370000,-138565.17905238,289,115.47879028320312,108446,0.0055,1279,150664768.0,194680.78125,-13.08096981048584
94974,3.0,380000,-136737.23438375,289,60.951377868652344,111731,0.0055,1314,262029152.0,135139.203125,14.827234268188477
97474,3.0,390000,-138274.55863337003,289,290.84613037109375,114472,0.0055,1348,190090032.0,243954.8125,39.27613067626953
99974,3.0,400000,-136992.15808398003,289,47.43239212036133,117752,0.0055,1382,173444224.0,118324.859375,-23.092336654663086
102474,3.0,410000,-136436.1133777,288,44.013431549072266,120636,0.0055,1419,100756496.0,140990.53125,21.009878158569336
104974,3.0,420000,-136999.93327026,288,86.45386505126953,123919,0.0055,1457,108685168.0,155320.46875,25.025177001953125
107474,3.0,430000,-137715.52685099,287,33.779296875,127052,0.0055,1494,26446580.0,125928.7265625,-2.3108086585998535
109974,3.0,440000,-137094.46268157,287,30.731176376342773,130384,0.0055,1532,10916144.0,115417.1640625,22.227874755859375
112474,3.0,450000,-136364.24803497002,286,12.811638832092285,133718,0.0055,1569,8371166.5,114436.484375,11.812525749206543
114974,3.0,460000,-136476.57047290003,286,69.04740142822266,136694,0.0055,1606,48324028.0,133272.8125,20.397716522216797
117474,3.0,470000,-136403.36250828998,285,22.417390823364258,139678,0.0055,1644,80921072.0,115652.171875,13.010961532592773
