time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,time/fps,train/explained_variance,train/learning_rate
10,10000,-601471.42371043,22.32,1.0023149251937866,0.2,10,-21.30191318690777,0.0204833984375,25740769280.0,-0.005719793450043653,58055652083.2,0.005732615,937,-1.1920928955078125e-07,0.0017
21,20000,-599312.54005927,22.03,1.0047576427459717,0.2,20,-21.337397511303426,0.0056884765625,31876806656.0,-0.0032501585619684192,63454927881.6,0.0037130322,941,0.0,0.0017
31,30000,-579630.8621517799,21.47,1.0072016716003418,0.2,30,-21.37359813451767,0.00078125,30596446208.0,-0.0017811233085012646,60423729817.6,0.002044574,942,0.0,0.0017
42,40000,-553721.1418054999,20.22,1.0095715522766113,0.2,40,-21.409397362172605,0.00130615234375,27801438208.0,-0.002037532926624408,61742194864.0,0.0024605885,943,1.7881393432617188e-07,0.0017
57,50000,-591630.0827026,21.39,1.0141621828079224,0.2,60,-21.476990416646004,0.000341796875,29087029248.0,-0.0016538276326173219,59512465651.2,0.0017851109,868,1.7881393432617188e-07,0.0017
68,60000,-459464.1482083,16.37,1.0166630744934082,0.2,70,-21.51356347948313,0.0008544921875,29991151616.0,-0.0020167693255643826,61786947619.2,0.0020164473,880,0.0,0.0017
78,70000,-626565.7266826701,22.78,1.019243836402893,0.2,80,-21.550931765139104,0.0003173828125,29380780032.0,-0.0016160414950718404,60680963433.6,0.0016707673,888,1.1920928955078125e-07,0.0017
89,80000,-522016.32585152006,19.06,1.0217394828796387,0.2,90,-21.58846169412136,0.00123291015625,32125052928.0,-0.0021600067679173663,62649579561.6,0.0024049606,894,-1.1920928955078125e-07,0.0017
100,90000,-486683.99791307,17.38,1.0238158702850342,0.2,100,-21.62206219136715,0.00277099609375,32839153664.0,-0.002635785952952574,60352158297.6,0.0029690391,897,0.0,0.0017
115,100000,-562038.7321126501,20.12,1.0292656421661377,0.2,120,-21.69660289734602,0.00196533203125,27632920576.0,-0.002414169923395093,59979664876.8,0.0025087744,866,-1.1920928955078125e-07,0.0017
126,110000,-438363.54994145996,15.31,1.0315309762954712,0.2,130,-21.73338706791401,0.00120849609375,24961445888.0,-0.0022003276240866398,62066916963.2,0.002510835,872,0.0,0.0017
136,120000,-510886.50496330997,17.93,1.03378427028656,0.2,140,-21.7659558609128,0.000146484375,32686211072.0,-0.0016183613794055417,62188077321.6,0.0015294787,877,-1.1920928955078125e-07,0.0017
147,130000,-492241.69763608003,17.66,1.0363333225250244,0.2,150,-21.800923527777194,0.00030517578125,29861169152.0,-0.0016365926876460435,65189035520.0,0.0016671843,881,0.0,0.0017
162,140000,-447035.6549820201,15.72,1.0412933826446533,0.2,170,-21.874258062243463,0.00048828125,26347444224.0,-0.0016479959840580705,56425829913.6,0.0019158757,859,0.0,0.0017
173,150000,-462960.0126727401,16.16,1.0439094305038452,0.2,180,-21.909942030906677,0.0027587890625,23476424704.0,-0.003025078630707867,62227862700.8,0.0030760993,863,1.1920928955078125e-07,0.0017
184,160000,-447450.5438716601,15.45,1.046319842338562,0.2,190,-21.945997215807438,0.000927734375,33917677568.0,-0.0022281335477600805,65800556848.0,0.0022603907,867,-2.384185791015625e-07,0.0017
195,170000,-464400.45598547003,16.28,1.0492223501205444,0.2,200,-21.98402668684721,0.000830078125,29516441600.0,-0.0019593275552324484,55456545494.4,0.002022127,870,0.0,0.0017
206,180000,-413073.47914608003,14.12,1.0521059036254883,0.2,210,-22.025318567454814,0.00081787109375,32628475904.0,-0.002338440785479179,58347649062.4,0.0020821309,872,0.0,0.0017
221,190000,-535210.7208537,18.62,1.0569459199905396,0.2,230,-22.09743396937847,0.00230712890625,26007713792.0,-0.002684615456382744,62124571273.6,0.0027997326,857,-1.1920928955078125e-07,0.0017
232,200000,-393814.4496595,13.4,1.0597833395004272,0.2,240,-22.134843347966672,0.00045166015625,32244330496.0,-0.001988739558328234,66324723155.2,0.0018472825,860,0.0,0.0017
243,210000,-478411.68345351005,16.2,1.0622093677520752,0.2,250,-22.17203927487135,3.662109375e-05,30200113152.0,-0.0012491444205807057,61256196758.4,0.0010715027,862,1.1920928955078125e-07,0.0017
254,220000,-401978.59913062997,13.5,1.0644127130508423,0.2,260,-22.204974956810474,0.00198974609375,28699314176.0,-0.002555232311351574,62405860313.6,0.002750461,864,0.0,0.0017
269,230000,-401905.01499494,13.33,1.0697171688079834,0.2,280,-22.274858699738978,0.00224609375,20439642112.0,-0.0023506675806856947,54469932304.0,0.002563665,852,1.1920928955078125e-07,0.0017
280,240000,-389736.21258147,12.87,1.07246732711792,0.2,290,-22.314077334105967,0.00068359375,29232668672.0,-0.002259649119878304,62749316307.2,0.001994535,855,0.0,0.0017
291,250000,-325146.47731749003,10.42,1.07558012008667,0.2,300,-22.355161291360854,0.00059814453125,25840640000.0,-0.0016278580331345438,56013241804.8,0.0018141039,857,0.0,0.0017
302,260000,-415305.8754855601,13.92,1.078245997428894,0.2,310,-22.395503072440626,0.00091552734375,26354620416.0,-0.0019519845875947794,55018976361.6,0.0021622377,859,1.1920928955078125e-07,0.0017
313,270000,-419534.25411774,13.82,1.080933928489685,0.2,320,-22.4327264636755,0.000830078125,28014520320.0,-0.002134111461964494,59397863136.0,0.002251146,860,-1.1920928955078125e-07,0.0017
328,280000,-384101.24052727997,12.77,1.0857254266738892,0.2,340,-22.501322753727436,0.00028076171875,29448548352.0,-0.0012749723748129327,59309223059.2,0.0012128907,851,1.1920928955078125e-07,0.0017
