train/policy_gradient_loss,train/learning_rate,train/clip_range,time/fps,time/total_timesteps,train/value_loss,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,train/clip_fraction,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance
-0.006924736337168724,0.0017,0.2,949,10000,5125249018.6,0.0060921134,1.007660984992981,-21.345170496404172,-347369.93242006004,0.04119873046875,62.37,10,10,2512881408.0,1.1920928955078125e-07
-0.00577159542717709,0.0017,0.2,952,20000,4965726103.8,0.0051954677,1.0149677991867065,-21.455589345097543,-301479.06779906,0.02720947265625,53.23,21,20,2608733952.0,0.0
-0.004619603639366687,0.0017,0.2,951,30000,5020897052.6,0.0047358675,1.023389220237732,-21.572066731750965,-256836.84402760997,0.0223388671875,46.02,31,30,2183148032.0,0.0
-0.005697761100236676,0.0017,0.2,952,40000,4538006484.2,0.00521883,1.0314887762069702,-21.692953464388847,-290541.63426121,0.02567138671875,53.05,41,40,2171890432.0,0.0
-0.00554503261737409,0.0017,0.2,877,50000,4412620039.6,0.00516486,1.0468896627426147,-21.918690459430216,-255496.91784276,0.025732421875,48.07,56,60,2477435904.0,0.0
-0.005260048348418422,0.0017,0.2,888,60000,4780230550.6,0.0051786923,1.053693413734436,-22.022393034398554,-321743.61549274,0.02506103515625,59.51,67,70,2625057024.0,-1.1920928955078125e-07
-0.005792376820681966,0.0017,0.2,897,70000,4417781820.6,0.0052348506,1.0623538494110107,-22.13363564312458,-288658.72654427,0.02720947265625,55.39,78,80,2265091584.0,0.0
-0.004808637783571612,0.0017,0.2,906,80000,4557800309.6,0.0044169757,1.0716015100479126,-22.259352599084377,-275581.90557506005,0.01490478515625,53.94,88,90,2252484864.0,-1.1920928955078125e-07
-0.005037239874945953,0.0017,0.2,913,90000,4288477213.0,0.004711774,1.0798792839050293,-22.38229996860027,-235888.60282135,0.02252197265625,41.82,98,100,2420530432.0,0.0
-0.005824933095573215,0.0017,0.2,882,100000,4330323266.8,0.005420267,1.0970269441604614,-22.612796118855478,-231332.64335487003,0.030908203125,44.02,113,120,2387882496.0,1.1920928955078125e-07
-0.0030706410132552266,0.0017,0.2,889,110000,3967861868.2,0.004080952,1.1052778959274292,-22.73167863339186,-251610.71329746998,0.01383056640625,47.06,123,130,2043476224.0,0.0
-0.004025512786211038,0.0017,0.2,894,120000,4133527950.8,0.0046658358,1.1142051219940186,-22.847929607331753,-258609.22946774,0.01591796875,52.65,134,140,2072465664.0,0.0
-0.0054843171281390825,0.0017,0.2,898,130000,3767700841.4,0.005374684,1.1239001750946045,-22.973571661114693,-272768.66116281,0.026123046875,53.64,144,150,2275629056.0,0.0
