time/time_elapsed,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/fps,train/learning_rate,train/critic_loss,time/episodes,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates
66,10000,39.72761154174805,-4404641.457382072,150,0.0064,4133.22412109375,69,246230.9375,121.7536231884058,-6.161206245422363,2474
132,20000,75.21611022949219,-884413.7880454601,151,0.0064,5677.2841796875,226,243405.625,59.02,3.6883411407470703,4974
199,30000,63.429561614990234,-671507.84858421,150,0.0064,3836.3212890625,443,221642.046875,52.43,-0.11535462737083435,7474
265,40000,52.136600494384766,-818253.6903855099,150,0.0064,3823.565673828125,620,199557.625,60.03,-9.39193344116211,9974
331,50000,41.20674514770508,-715424.5548598999,150,0.0064,2894.8837890625,847,177527.296875,50.91,1.0848805904388428,12474
398,60000,37.47438049316406,-1182844.37489788,150,0.0064,2723.046142578125,968,172192.25,85.33,-7.3150248527526855,14974
465,70000,29.85319709777832,-750388.78871475,150,0.0064,2095.378662109375,1105,166880.4375,56.31,-0.40014582872390747,17474
531,80000,18.190385818481445,-339889.2535843,150,0.0064,1949.636962890625,1367,151996.84375,22.2,2.703505039215088,19974
599,90000,14.892555236816406,-773990.6949327999,150,0.0064,1605.57373046875,1578,149366.90625,56.85,3.471001148223877,22474
664,100000,14.084731101989746,-766272.1546203998,150,0.0064,1460.1627197265625,1772,149845.84375,58.05,6.547092437744141,24974
731,110000,12.65672492980957,-878314.19379264,150,0.0064,1606.38525390625,1921,152514.125,62.62,3.4329628944396973,27474
798,120000,10.523541450500488,-1086860.66187971,150,0.0064,1689.977783203125,2054,154213.078125,81.11,0.7996023893356323,29974
865,130000,13.883662223815918,-1042798.3723853299,150,0.0064,1613.3623046875,2186,155590.359375,75.38,-2.48690128326416,32474
931,140000,14.570809364318848,-912605.84312234,150,0.0064,1949.450439453125,2316,156292.4375,69.29,-1.5090444087982178,34974
997,150000,15.828010559082031,-924386.55803977,150,0.0064,2195.136474609375,2458,154532.40625,69.11,1.757023811340332,37474
1063,160000,10.000107765197754,-1321296.86178402,150,0.0064,1523.3265380859375,2547,155627.5625,103.58,3.332334280014038,39974
1132,170000,8.059765815734863,-545458.3972215999,150,0.0064,1256.49951171875,2737,155283.765625,45.94,-6.02189302444458,42474
1199,180000,6.178005218505859,-652749.73531727,150,0.0064,1064.568115234375,2934,154985.3125,56.41,-2.2469465732574463,44974
1266,190000,6.958977222442627,-1265251.19315602,150,0.0064,1051.01171875,2970,156087.015625,116.54,1.540379285812378,47474
1332,200000,4.233175277709961,-1439657.0693786899,150,0.0064,1090.80322265625,3066,156508.96875,134.74,0.5032283663749695,49974
1401,210000,3.8710553646087646,-714261.5211307999,149,0.0064,627.965087890625,3248,156602.21875,63.0,0.06994083523750305,52474
1468,220000,3.839142084121704,-909255.52472202,149,0.0064,746.4622192382812,3375,157255.765625,81.63,2.6098930835723877,54974
1539,230000,3.8284263610839844,-510764.81040515,149,0.0064,614.3527221679688,3584,157514.875,42.18,1.867741346359253,57474
1606,240000,5.300088405609131,-464090.38319346996,149,0.0064,1053.0438232421875,3856,156875.0625,38.67,-2.04363751411438,59974
1674,250000,5.074734687805176,-568917.39074395,149,0.0064,605.142578125,4097,156392.75,48.61,2.86513614654541,62474
1743,260000,6.051695823669434,-474632.94021698,149,0.0064,838.6605224609375,4349,155687.171875,39.85,-0.9046369791030884,64974
1811,270000,6.561034202575684,-448224.80710191996,149,0.0064,863.8731689453125,4593,155269.328125,39.14,5.3265485763549805,67474
1882,280000,6.821040153503418,-602101.01275729,148,0.0064,920.2110595703125,4802,155238.625,54.87,-2.9957332611083984,69974
1952,290000,6.665926933288574,-634987.5653334801,148,0.0064,1472.3717041015625,4970,154975.453125,59.03,-0.5655934810638428,72474
2023,300000,6.028043270111084,-547101.51447812,148,0.0064,939.2821655273438,5162,155392.03125,50.34,-0.9282382726669312,74974
2094,310000,7.023764610290527,-433931.88859997,147,0.0064,1952.5228271484375,5416,155316.546875,37.65,0.7437586784362793,77474
2167,320000,7.137715816497803,-582743.2329376499,147,0.0064,1219.628173828125,5638,154585.375,50.51,-2.649669647216797,79974
2239,330000,7.234273910522461,-577331.0784394101,147,0.0064,935.4979248046875,5845,154101.453125,51.88,-2.3393704891204834,82474
2313,340000,6.684749126434326,-585967.88352713,146,0.0064,1034.2493896484375,6045,154163.25,56.66,2.2353672981262207,84974
2387,350000,8.614151954650879,-335596.40148187,146,0.0064,1304.4281005859375,6301,153709.65625,37.47,1.7658545970916748,87474
2461,360000,10.44534969329834,-465930.37695159996,146,0.0064,2061.227294921875,6557,152790.5,49.17,-1.9697736501693726,89974
2535,370000,11.89935302734375,-568103.96265909,145,0.0064,1198.06787109375,6755,153366.0625,54.72,-6.929725646972656,92474
2609,380000,10.239823341369629,-1126015.51709267,145,0.0064,583.5704345703125,6842,154711.75,106.2,4.197381973266602,94974
2683,390000,10.91151237487793,-459924.2580595899,145,0.0064,850.1610717773438,7048,154919.234375,39.9,3.932434320449829,97474
2757,400000,12.631978034973145,-460038.72617095994,145,0.0064,1755.7900390625,7299,154592.34375,39.96,-0.3901737332344055,99974
2834,410000,15.644011497497559,-657735.4075111699,144,0.0064,2343.8212890625,7501,154539.53125,52.48,1.2840089797973633,102474
2910,420000,25.770898818969727,-458687.90555232996,144,0.0064,3327.251953125,7749,150722.765625,39.22,-4.267422199249268,104974
2988,430000,23.357362747192383,-302266.70092152,143,0.0064,2571.969482421875,8058,149788.71875,23.04,0.9342074394226074,107474
3065,440000,28.707246780395508,-248737.3540201,143,0.0064,3073.89306640625,8598,147520.375,17.64,-3.4138023853302,109974
3140,450000,26.7742919921875,-236119.76351527002,143,0.0064,2986.48046875,9161,143138.046875,16.19,-0.9819950461387634,112474
3216,460000,27.756065368652344,-253142.20430829,142,0.0064,3604.227294921875,9770,136825.453125,18.01,-4.987329959869385,114974
3293,470000,23.940656661987305,-235615.97006430998,142,0.0064,3845.36181640625,10383,132606.84375,16.2,-0.8998647332191467,117474
3370,480000,22.42966651916504,-235328.14745756,142,0.0064,3786.204345703125,11050,131019.859375,16.36,0.02363935112953186,119974
3449,490000,23.468429565429688,-171781.95788236,142,0.0064,3566.712646484375,11893,123754.65625,9.67,1.2515987157821655,122474
3528,500000,24.814659118652344,-202888.77869051,141,0.0064,3169.60693359375,12847,118225.953125,12.21,-1.0105940103530884,124974
3607,510000,24.9652042388916,-170377.43060202,141,0.0064,2911.02783203125,13661,116036.6796875,9.67,-5.1273064613342285,127474
3685,520000,27.405176162719727,-144522.68372219,141,0.0064,2377.536865234375,14886,112639.453125,6.96,3.4023094177246094,129974
3764,530000,27.096158981323242,-145634.26181114,140,0.0064,1827.96435546875,16367,110485.8203125,6.97,0.8099654912948608,132474
3844,540000,23.819103240966797,-135306.46010663,140,0.0064,1461.744140625,17828,108682.921875,6.0,0.2398674190044403,134974
3923,550000,21.739898681640625,-139712.58501210003,140,0.0064,1262.534423828125,19365,107934.859375,6.47,-0.08822143077850342,137474
4003,560000,18.460216522216797,-141276.94430586,139,0.0064,932.1798706054688,20977,106128.0390625,6.57,-1.459822177886963,139974
4082,570000,16.71129608154297,-167717.28882161004,139,0.0064,957.2765502929688,22150,106496.515625,9.27,1.0762405395507812,142474
