train/value_loss,train/std,time/time_elapsed,train/policy_objective,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/is_line_search_success,rollout/ep_rew_mean,train/kl_divergence_loss
8659538953.6,0.9965927004814148,7,0.08834408968687057,1,0.0013,32.68,1424,10000,9.059906005859375e-06,1.0,-220742.39115978003,0.006142408587038517
7616947088.8,1.0043562650680542,14,0.0829266831278801,2,0.0013,22.84,1420,20000,1.1920928955078125e-07,1.0,-157873.51060333,0.003937729634344578
7256913813.6,0.9994140863418579,21,0.06604430079460144,3,0.0013,25.05,1419,30000,0.0,1.0,-152021.03436407997,0.004221045412123203
6264136676.0,0.9949640035629272,28,0.061899226158857346,4,0.0013,21.27,1420,40000,0.0,1.0,-141675.38282765,0.004812886472791433
5642346896.0,0.9836552143096924,36,0.06592509895563126,6,0.0013,21.31,1370,50000,5.960464477539063e-08,1.0,-135533.25852389,0.004219014663249254
5608089180.0,0.9740561246871948,43,0.053115904331207275,7,0.0013,20.34,1379,60000,-1.1920928955078125e-07,1.0,-124857.45689567,0.004276448395103216
5425776908.0,0.9668198823928833,50,0.06619719415903091,8,0.0013,22.46,1386,70000,0.0,1.0,-132139.53742571,0.004694683477282524
5242117567.2,0.9693201780319214,57,0.06295770406723022,9,0.0013,22.86,1391,80000,0.0,1.0,-129268.67623086,0.004867874551564455
5213753263.2,0.9652993083000183,64,0.05640598386526108,10,0.0013,21.27,1393,90000,5.960464477539063e-08,1.0,-118519.77970772002,0.004697923082858324
4848076613.2,0.9561566114425659,72,0.07104315608739853,12,0.0013,22.73,1370,100000,0.0,1.0,-124265.06406241999,0.0049866861663758755
4800419654.0,0.9495341181755066,80,0.07297547161579132,13,0.0013,24.16,1371,110000,0.0,1.0,-128727.24594939,0.005503704771399498
4840917647.2,0.9446110129356384,87,0.06397245824337006,14,0.0013,22.42,1373,120000,0.0,1.0,-115868.52950588001,0.005080835893750191
4469855108.8,0.9439290761947632,94,0.07156796753406525,15,0.0013,24.56,1374,130000,-1.1920928955078125e-07,1.0,-123839.35145707002,0.005273030139505863
