rollout/ep_len_mean,time/total_timesteps,train/is_line_search_success,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/policy_objective,time/fps,time/time_elapsed,train/n_updates,train/kl_divergence_loss,train/std,train/value_loss
19.98,10000,1.0,1.6689300537109375e-06,0.0013,-368387.0717826501,0.06788986176252365,1395,7,1,0.007046721410006285,1.0009816884994507,41228383737.6
15.69,20000,1.0,0.0,0.0013,-288515.82353031,0.06524582207202911,1393,14,2,0.006450317334383726,0.990139901638031,30471029587.2
12.41,30000,1.0,0.0,0.0013,-243810.23664085,0.04582687467336655,1389,21,3,0.004853705409914255,0.9915026426315308,26477369952.0
13.31,40000,1.0,1.1920928955078125e-07,0.0013,-258025.96872958998,0.05665617063641548,1387,28,4,0.005744106601923704,0.9882929921150208,25345430432.0
11.52,50000,1.0,-1.1920928955078125e-07,0.0013,-218968.56453831002,0.04197552800178528,1342,37,6,0.005429329350590706,0.9813011288642883,26708449958.4
11.63,60000,1.0,0.0,0.0013,-221727.03620432995,0.053355321288108826,1343,44,7,0.005197352264076471,0.9743673205375671,23064941187.2
11.4,70000,1.0,-1.1920928955078125e-07,0.0013,-223377.82577740002,0.050951987504959106,1345,52,8,0.006037634331732988,0.9639291763305664,20175216697.6
10.28,80000,1.0,-2.384185791015625e-07,0.0013,-200998.25404358,0.0522436760365963,1346,59,9,0.004980030003935099,0.963016927242279,23315443491.2
12.53,90000,1.0,0.0,0.0013,-238775.32716793998,0.0475640594959259,1346,66,10,0.00566009571775794,0.9562704563140869,19967864472.0
9.04,100000,1.0,0.0,0.0013,-185340.29310593,0.05752209201455116,1323,75,12,0.00573593657463789,0.9443007111549377,19052699907.2
8.36,110000,1.0,0.0,0.0013,-172840.38067569997,0.06075754761695862,1324,83,13,0.006121319252997637,0.9359062910079956,17060904212.8
7.43,120000,1.0,0.0,0.0013,-163466.25321201998,0.057637181133031845,1325,90,14,0.00563623895868659,0.9299270510673523,18632224520.0
8.65,130000,1.0,0.0,0.0013,-181587.7741968,0.055865950882434845,1326,97,15,0.005063754506409168,0.920472264289856,17996756720.0
7.37,140000,1.0,-1.1920928955078125e-07,0.0013,-160591.84245609003,0.05624126270413399,1312,106,17,0.006257242523133755,0.9082661271095276,15441385718.4
6.42,150000,1.0,5.960464477539063e-08,0.0013,-150558.28815419,0.06578607857227325,1311,114,18,0.006263687275350094,0.9048053622245789,16520202630.4
7.42,160000,1.0,-2.384185791015625e-07,0.0013,-161679.37371811,0.050532616674900055,1312,121,19,0.006203953642398119,0.8886257410049438,13855488585.6
6.87,170000,1.0,-1.1920928955078125e-07,0.0013,-154443.70120093,0.06087041646242142,1313,129,20,0.008860544301569462,0.8760213851928711,14074463272.0
5.77,180000,1.0,5.960464477539063e-08,0.0013,-141106.38142468,0.06454050540924072,1313,137,21,0.0075566768646240234,0.8682711720466614,14144007881.6
5.79,190000,1.0,1.1920928955078125e-07,0.0013,-142985.52108357,0.05385051295161247,1301,145,23,0.006624301895499229,0.8610147833824158,13164123825.6
5.26,200000,1.0,0.0,0.0013,-136044.52116713,0.07266108691692352,1301,153,24,0.008245745673775673,0.8585106730461121,12231638089.6
